COURSENAME,COMBINED_TITLE,RESOURCE_TYPE,SUBJECTS
methods for complex inquiry,a designers research manual succeed in design by knowing your clients and what they really need,book,design really market manual state designer know united art commercial graphic client unite succeed research need
dynamics of cultural diversity in the workplace and the community,a developmental progression model for intercultural consciousness a leadership imperative,article,consciousness intercultural progression source energy renewable solar developmental leadership tax technology incentive taxation model imperative
introduction to media studies,a dictionary of communication and media studies edited by james watson and anne hill,book,watson dictionary james medium communication anne study mass edit hill
authorship and writing,a dictionary of critical theory,book,critical dictionary literatuurtheorie theory
professional writing and editing,a dictionary of modern english usage,book,dictionary modern usage language english
introduction to sociology oua,a dictionary of sociology,book,sociology dictionary sociologie
indigenous peoples law and society,a different kind of subject colonial law in aboriginal european relations in nineteenth century western australia 1829 61,book,enforcement 1829 midgegooroo century land kind subject different relation 1833 right die colonial european law australia 61 western nineteenth aboriginal
conservation medicine,a different nature the paradoxical world of zoos and their uncertain future,book,mathematics paradoxical zoos nature future zoo world uncertain science different
spies saboteurs and secret agents,a diplomatics analysis of a document purported to prove prior knowledge of the attack on pearl harbor,article,harbor source energy analysis renewable prove prior pearl solar purport knowledge attack tax document technology incentive taxation diplomatics
metaphors of mind,a discourse on the method of correctly conducting ones reason and seeking truth in the sciences,book,correctly first philosophy truth seek methodology reason conduct one method science discourse
art therapy with children and adolescents,a dramatherapy case study with a young man who has dual diagnosis of intellectual disability and mental health problems,article,mental dual problem diagnosis study intellectual young disability case dramatherapy health man
knowledge management,a dynamic theory of organizational knowledge creation,article,organisational management organizational creation feedback knowledge dynamic learning theory system
sustainable tourism,a european sustainable tourism labels proposal using a composite indicator,article,tourism label indicator proposal strategic composite european law oceania use aspect sustainable
soil processes,a factual key for the recognition of australian soils,book,australian key australia soil factual recognition identification classification
advanced professional counselling psychology clinical research and ethical issues,a family in therapy,book,mental family therapy work australia psychotherapy social health
forensic anatomy and anthropology,a fatal leopard attack,article,news opinion leopard commentary fatal interest attack general
parliamentary democracy,a federal republic australias constitutional system of government,book,politics republic government republicanism australia constitutional federal system
paul,a feminist companion to matthew,book,interpretation feminist etc criticism bible matthew feminism companion
old testament exegesis,a feminist companion to wisdom literature,book,wijsheidsliteratuur feminist criticism scriptures companion christianity literature wisdom
conservation biology,a field guide to australian birds passerines,book,australian guide bird passeriformes australia passerine ornithology identification field
australian biodiversity,a field guide to the mammals of australia,book,guide australia mammal identification field
future learning design 2018,a flexible framework for online collaborative learning,article,339999 education flexible collaborative framework online learning
ecology,a floristic survey of the southern swan coastal plain,book,swan floristic w coastal southern australia survey western community plant plain
leadership,a force for change how leadership differs from management,book,management force differs change industrial leadership
analysing policy problems,a foucault primer discourse power and the subject alec mchoul and wendy grace,book,grace alec century foucault philosophy primer 1926 20th michel power subject wendy mchoul 1984 discourse french
mediation and dispute resolution,a framework for adr standards report to the commonwealth attorney general,book,attorney commonwealth resolution law report dispute standard justice australia framework administration adr general
environmental policy and law,a framework for comparing collaborative management of australian and new zealand water resources,article,australian management zealand resource collaborative framework new water compare
environmental policy for the 21st century,a framework for evaluating environmental policy instruments context and key concepts,article,environmental genetic resource instrument key concept framework policy evaluate strategy intensification feed context sustainable
supply chain management and logistics,a framework for supply chains logistics operations in the asia pacific region,book,pacific operation business area logistics asia framework region supply textbooks chain
festivals and events,a framework for the development of event public policy facilitating regional development,article,regional tourism management government local event framework facilitate policy transportation 3313 public development
principles of environmental impact assessment,a framework for understanding and improving environmental decision making,article,rationality understand bound improve framework decision uncertainty making environmental
work and well being,a framework for understanding the development of organisational safety culture,article,organisational risk management understand zealand safety organization organizational framework new culture administration development
sustainable tourism,a framework of approaches to sustainable tourism,article,tourism ecotourism sustainable approach framework congresses aspect environmental
communication skills for undergraduate study,a framework to assess the impacts of corruption on forests and prioritize responses,article,corruption forest prioritize framework response ass impact
principles of wildlife comparative pathology,a fresh look at metabolic bone diseases in reptiles and amphibians,article,amphibian metabolic fresh bone look reptile diseases
alternative and mainstream communities,a future for regional australia escaping global misfortune,book,regional e conomiques economic future global australie australia condition misfortune escape rurales
festivals and events,a futurists thoughts on consumer trends shaping future festivals and events 1,article,consumer 1 trend education future event computer thought futurists shape application festival science miscellaneous
indigeneity critical theory and social justice,a genealogy of queer theory,book,queer gay identity philosophy genealogy lesbianism theory
dynamics of cultural diversity in the workplace and the community,a general theory of community building in its application in a multi ethnic setting the kosovo case,article,ethnic multi kosovo source energy renewable set case solar build general theory tax community technology incentive taxation application
rethinking strategic value of markets and consumers,a general theory of marketing ethics,article,tourism ethic school hospitality probability 1505 theory consequence general marketing
cyborg virus algorithm concepts for media practice,a geology of media,book,social geology medium philosophy mass culture psychology general
advanced molecular biology modern concepts and applications,a giant gutter in outer space on the schopenhauerian themes of hbo s hit series true detective,article,series detective schopenhauerian outer theme true hbo giant hit space gutter
gis for environmental management and planning,a gis based multi criteria decision making approach to forest conservation planning at a landscape scale a case study in the kinabalu area sabah malaysia,article,make malaysia multi sabah scale study conservation forest kinabalu area approach base gi case decision planning landscape criterion
principles of wildlife health,a global veterinary medical perspective on the concept of one health focus on livestock,article,equipment supply management medical perspective livestock business usage global concept one dynamic focus company health veterinary electronic
environmental policy and law,a greener alternative deliberative democracy meets local government,article,meet human society study alternative government local deliberative policy democracy administration public greener
one health for biodiversity conservation,a guide for ecologists detecting the role of disease in faunal declines and managing population recovery,article,agricultural detect population ecology role veterinary systematics decline manage behavior ecologist faunal science biological evolution guide recovery 1105 disease
science in the primary curriculum,a guide to conducting an investigation and a completed investigation planner,book,investigation refugee guide service planner complete conduct classify elsewhere public health
counselling adults,a guide to crisis intervention,book,mental guide service crisis psychology intervention method health
managing wetlands and water,a guide to emergent wetland plants of south western australia,book,south guide vegetation emergent ecology australia western plant wetland
managing wetlands and water,a guide to identifying wetland management objectives in the perth metropolitan area,book,area region petroleum conservation identify wetland environmental chemical perth industry management kwinana metropolitan guide objective petrochemical australia western company aspect
professional learning project,a guide to practitioner research in education,book,practitioner britain guide education great action research
managing strategic risk and projects,a guide to the project management body of knowledge project management institute,book,de management guide connaissances standard institute gestion project knowledge body
australian biodiversity,a guide to the reptiles and frogs of the perth region,book,guide identification region australia reptiles squamata western frog reptile perth
principles and processes of interventions,a guide to treatments that work,book,mental illness guide therapy work psychotherapy disorder evaluation treatment method
australian biodiversity,a guide to wetland invertebrates of southwestern australia,book,south invertebrate etc guide w manual handbook west ecology australia southwestern wetland
managing wetlands and water,a guide to wetland management on the swan coastal plain,book,swan management guide w coastal conservation australia western wetland plain
it professional practice,a guide to writing as an engineer,book,guide technik engineer write technical
peoples history of south east asia,a hakka kongsi in borneo,article,serial politics indonesia government economic hakka condition 1966 kongsi precis borneo
foundations english,a handbook of aboriginal languages of new south wales and the australian capital territory,book,australian etc south handbook glossary vocabulary language new wale capital aboriginal territory
engaging with children and young people,a handbook of children and young peoples participation perspectives from theory and practice,book,right political social welfare service handbook perspectives practice people participation young child policy theory public science
advanced human resource perspectives,a handbook of human resource management practice,book,etc management manual human handbook resource practice personnel personeelsmanagement
advanced psychological assessment,a handbook of test construction introduction to psychometric design,book,construction employment educational psychological handbook psychometric introduction measurement test design
news and power,a handbook of varieties of english a multimedia reference tool,book,etc multimedia variety manual handbook tool variation language english dialecten handbooks reference
introduction to marine biology,a handbook to australian seashells on seashores east to west and north to south,book,mollusk gastropoda etc australian seashells south manual north handbook west australia shell east identification seashore
nursing management of chronic illness,a healthy view of dying,article,die view healthy palliative interest general care treatment
writing place landscapes memory history,a heritage handbook,book,handbook site australia building heritage historic
music drama and writing,a hero s journey in a german psychiatric hospital a case study on the use of role method in individual drama therapy,article,individual hospital therapy drama study use psychiatric library case role german method journey hero check
medical radiations science,a history and theory of informed consent,book,medical state law inform consent history united theory
indigenous sustainability,a history of australia,book,history australia australien
australian cultural history,a history of australia new zealand and the pacific,book,pacific zealand oceania australia history australien new
change and innovation in teaching and learning,a history of australian schooling,book,australian sociology educational education teach history australia schooling
asian centuries,a history of cambodia,book,history cambodia kambodscha
world religions in history,a history of christianity in asia vol 2 1500 1900,book,1900 vol 1500 asia history church christianity 2
world religions in history,a history of christianity in india 1707 1858,book,1707 history church christianity mission 1858 india
the idea of travel global perspectives,a history of curiosity the theory of travel 1550 1800,book,science ethnology methodology 1800 curiosity history theory travel social 1550
the silk roads,a history of early modern southeast asia 1400 1830,book,modern southeast 1830 asia 1400 history early
the rise and fall of nazi germany,a history of germany 1815 1990,book,1815 germany 1900 century 1789 20th history 1990
the rise and fall of nazi germany,a history of germany 1918 2008 the divided nation,book,divide germany century politics government 20th 1918 2008 nation history
introduction to graphic design,a history of graphic design,book,book history typography graphic design
history of design and technology,a history of invention from stone axes to silicon chips,book,chip history axes invention stone technology silicon
asian centuries,a history of modern indonesia,book,century modern politics indonesia 20th government history
modern japan,a history of nationalism in modern japan placing the people,book,nationalism modern japan histoire people history place 1868 nationalisme japon
alternative and mainstream communities,a history of the holocaust,book,1789 jew history holocaust 1945 1939 jewish jews
religion politics and society in sixteenth century england,a history of the modern british isles 1529 1603 the two kingdoms,book,british century 1603 1485 britain modern 16th history kingdom isle two great 1529 tudor scotland
principles of gastronomy,a history of the world in 6 glasses,book,coffee 6 tea history world glass beverage
english education,a history of western music,book,criticism music history western musik
alternative and mainstream communities,a holocaust reader,book,source reader history holocaust 1945 1939 jewish
the casino club and hotel environment,a host of opportunities an introduction to hospitality management,book,industry host management introduction hospitality opportunity
leadership in health care,a human factors and reliability approach to clinical risk management evidence from italian cases,article,evidence risk management human italian clinical reliability anesthesia approach case care dosage treatment health administration factor
imperialism and colonialism in modern history,a hundred horizons the indian ocean in the age of global empire,book,imperialisme horizon age hundred indian empire global ocean history region
critical perspectives in early childhood education,a hundred ways of listening gathering childrens perspectives of their early childhood environment,article,childrens literacy environment hundred way gathering study perspectives teach classroom case early listen childhood
environmental policy and law,a hundred years of negotiations with no end in sight where is the murray darling basin initiative leading us,article,initiative hundred lead darling negotiation sight murray u inquiry end productivity basin year committee
environmental technology for sustainability,a hydrogen powered commodore,article,political nuclear climate change energy commodore history hydrogen power test health aspect
modern japan,a japanese village suye mura,book,life suye japan japanese village mura rural condition civilization custom social
introduction to the old testament,a journey through the hebrew scriptures,book,interpretation etc criticism bible scripture hebrew testament history introduction old journey
learning and teaching,a journey towards wellbeing,article,wellbeing journey towards
sustainable urban communities oua,a journey travelled aboriginal european relations at albany and the surrounding region from first contact to 1926,book,relation wandinyilmernong albany race w first surround european 1926 region contact aboriginal travel journey
criminology,a just measure of pain the penitentiary in the ndustrial revolution 1750 1850,book,1850 measure penitentiary pain 1750 ndustrial revolution
contemporary fiction writing,a kind of flying,book,life manner state fly custom fiction united kind social
applications of nanotechnology,a laboratory course in nanoscience and nanotechnology,book,engineering textbook nanoscience science manual course laboratory material technology nanotechnology
environmental policy and law,a ladder of citizen participation,article,citizen behavioral science participation ladder social
legal writing for lawyers,a lawyer and a law lecturer meet in a bar,article,bar guidance meet lawyer study state law vocational teach lecturer united congress europe congresses
sex and gender matters,a limit to reflexivity the challenge for working women of negotiating sharing of household labor,article,reflexive modernity household science share late 3301 work labor negotiate woman reflexivity limit challenge social miscellaneous
stakeholder governance in a business society ecosystem,a literature and practice review to develop sustainable business model archetypes,article,economics econometrics business develop practice review account model literature finance archetype miscellaneous sustainable
trans and intergenerational trauma,a long and terrible shadow white values native rights in the americas 1492 1992,book,right long america terrible tenure indian native 1492 1992 land people value white shadow indigenous treatment
wildlife biology,a long term study of short tailed shearwaters puffinus tenuirostris on fisher island australia,article,long south term macquarie study fisher puffinus tail tenuirostris short shearwater australia wale new island research
dynamics of cultural diversity in the workplace and the community,a look at the bright side of multicultural team diversity,article,diversity multicultural team bright side look
introduction to fiction writing,a lovers discourse fragments,book,terminology term lover fragment language love literature phrase discourse french
