COURSENAME,COMBINED_TITLE,RESOURCE_TYPE,SUBJECTS
development across the lifespan,computers in human behavior,journal,behavior psychology data processing behavioral sciences computers in human behavior
principles and practice of clinical accountability,ethics and law for the health professions,book,medical laws and legislation australia medical ethics australia ethics medical ethics and law for the health professions
leading professional learning communities,leadership: theory and practice,book,leadership leadership case studies leadership leadership theory and practice
selfmanagement and lifestyle medicine,patient education and counseling,journal,health education periodicals counseling periodicals patient education periodicals patient education and counseling
marine systems science and management,annual review of marine science,journal,marine sciences marine sciences periodicals annual review of marine science
communicating at university,bmc medical informatics and decision making,journal,clinical medicine decision making decision making medical informatics bmc medical informatics and decision making
selfmanagement and lifestyle medicine,british journal of nutrition,journal,nutrition nutrition periodicals voeding british journal of nutrition
caring for country,nourishing terrains: australian aboriginal views of landscape and wilderness,book,wilderness areas australia aboriginal australians land tenure aborigines australian attitudes nourishing terrains australian aboriginal views of landscape and wilderness
employment relationships,economic and labour relations review,journal,industrial relations australia periodicals australia economic conditions periodicals economics research australia periodicals economic and labour relations review
theories of text and culture,literary theory: the complete guide,book,literature philosophy criticism textbooks literature theory introduction literary theory the complete guide
social policy and law for social work,history australia,journal,history australia
studio elective i (visual arts),"knowledge, technology & policy",journal,communication in science communication of technical information periodicals communication of technical information knowledge technology policy
appraising evidence,australian family physician,journal,family medicine periodicals family practice physicians general practice australia periodicals australian family physician
the emerging practitioner,nurse educator,journal,nursing study and teaching periodicals education nursing education nursing periodicals nurse educator
introduction to evidence for health science practitioners,research methods in health: foundations for evidence-based practice,book,research design evidence based medicine health services research methods research methods in health foundations for evidence based practice
understanding community,the sociology of community connections,book,communities neighborliness social networks the sociology of community connections
learning from country,canadian journal of education,journal,education periodicals education canada periodicals canada canadian journal of education
lifestyle medicine and professional practice,journal of the american college of cardiology,journal,cardiology periodicals cardiology cardiologie pe riodiques journal of the american college of cardiology
race and the law,asking the law question,book,law philosophy law political aspects culture and law asking the law question
mediation and dispute resolution,negotiation journal,journal,conflict management periodicals dispute resolution law periodicals negotiation periodicals negotiation journal
psychological and environmental influences in lifestyle medicine,american journal on addictions,journal,substance abuse periodicals substance abuse treatment periodicals substance related disorders therapy american journal on addictions
learning from country,ecological management & restoration,journal,restoration ecology periodicals ecosystem management periodicals ecology ecological management restoration
welfare law,issues facing australian families: human services respond,book,family social work australia family services australia social service australia issues facing australian families human services respond
human rights,cases and materials on international law,book,international law cases international law international law cases and materials on international law
aboriginal social realities,aboriginal law bulletin,journal,law australia periodicals aboriginal australians legal status laws etc periodicals indigenous peoples legal status laws etc aboriginal law bulletin
aboriginal social realities,australian historical studies,journal,australia history periodicals history periodicals new zealand history periodicals australian historical studies
aboriginal social realities,international review for the sociology of sport,journal,sports social aspects periodicals sports social aspects zeitschrift international review for the sociology of sport
welfare law,australian feminist law journal,journal,women legal status laws etc australia periodicals women lawyers australia periodicals feminist jurisprudence australian feminist law journal
telling tales introduction to digital storytelling,screen media arts: an introduction to concepts & practices,book,motion pictures and television television production and direction motion pictures production and direction screen media arts an introduction to concepts practices
welfare law,law institute journal,journal,law institute journal
introduction to psychology ii,journal of personality and social psychology,journal,social psychology periodicals social psychology psychologie sociale pe riodiques journal of personality and social psychology
professional placement,the annals of the american academy of political and social science,journal,social sciences periodicals political science periodicals political science the annals of the american academy of political and social science
introduction to creative writing,the penguin book of australian women poets,book,australian poetry women authors women poetry poetry english australia 19th century texts the penguin book of australian women poets
introduction to psychology ii,australian and new zealand journal of psychiatry,journal,psychiatry periodicals psychiatry psychiatry australia periodicals australian and new zealand journal of psychiatry
sustainable business management,climate policy,journal,climatic changes government policy periodicals environmental policy periodicals publications pe riodiques climate policy
modern art and the avantgarde,filozofski vestnik,journal,philosophy periodicals philosophy filozofski vestnik
utilising philosophy in nursing practice,journal of medical ethics,journal,medical ethics periodicals ethics medical medical ethics journal of medical ethics
professional development in education,teacher: the national education magazine,journal,education australia periodicals private schools australia periodicals education teacher the national education magazine
unruly subjects citizenship,sexualities,journal,seksualiteit sexual behavior sexual ethics periodicals sexualities
trauma and resilience i,nursing research and practice,journal,nursing research periodicals nursing research nursing nursing research and practice
stakeholder engagement,business horizons,journal,business periodicals united states economic conditions periodicals business general business business horizons
visual arts studio studies i foundation,studies in art education,journal,art study and teaching periodicals art study and teaching art e tude et enseignement pe riodiques studies in art education
integrated project,beginning qualitative research: a philosophic and practical guide,book,social sciences research social sciences methodology social science research beginning qualitative research a philosophic and practical guide
health promotion and primary health care,understanding health,book,health promotion public health australia textbooks health promotion australia understanding health
knowing with community,the australian journal of indigenous education,journal,torres strait islanders education periodicals education indigenous studies education language the australian journal of indigenous education
professional experience i enhancing student learning,australian journal of education,journal,education australia periodicals education periodicals education australian journal of education
contemporary australian indigenous issues,journal of australian studies,journal,australia civilization periodicals australia australia intellectual life periodicals journal of australian studies
issues of protection,child & family social work,journal,family social work periodicals social work with children periodicals families welfare services child family social work
textile science and innovation,textiles for modern living,book,textile fabrics textile industry textile fibers textiles for modern living
curriculum studies in early childhood,australasian journal of early childhood,journal,child care services australasia periodicals early childhood education australasia periodicals early childhood education periodicals australasian journal of early childhood
counselling theory and practice,clinical psychology: science and practice,journal,psychotherapy periodicals psychology pathological periodicals clinical psychology periodicals clinical psychology science and practice
curriculum studies in early childhood,rapunzels supermarket: all about young children and their art,book,child artists children s art children s art rapunzels supermarket all about young children and their art
caring for kuntri indigenous environmental management,educational philosophy and theory,journal,teaching periodicals education philosophy periodicals teaching educational philosophy and theory
health research methodology,optometry today,journal,optometry periodicals optometry ophthalmology optometry today
cultural and spiritual wellbeing,journal of advanced nursing,journal,nursing periodicals nursing pflege journal of advanced nursing
play and pedagogies in early childhood education,techniques for teaching young children: choices for theory and practice,book,vorschulerziehung fo rskolepedagogik educacio n infantil techniques for teaching young children choices for theory and practice
environment and development,natural resources forum,journal,natural resources periodicals power resources periodicals natuurlijke hulpbronnen natural resources forum
exercise and cardiopulmonary health,journal of science and medicine in sport,journal,sports medicine periodicals exercise physiological aspects periodicals sports sciences periodicals journal of science and medicine in sport
visions of light making music video,music video and the politics of representation,book,music videos social aspects feminism and music music videos history and criticism music video and the politics of representation
research and evidence based practice,indian journal of pharmacology,journal,pharmacology periodicals pharmacology pharmacologie indian journal of pharmacology
project management initiation and planning,project management journal,journal,project management project management projectmanagement project management journal
indigenous knowledge,learning communities: international journal of learning in social contexts,journal,vocational education periodicals professional learning communities vocational education learning communities international journal of learning in social contexts
human resource management,international journal of human resource management,journal,personnel management periodicals personnel management human capital management periodicals international journal of human resource management
human resource management,harvard business review,journal,business periodicals economic history periodicals commerce harvard business review
indigenous knowledge,the dreaming & other essays,book,australia colonization history australia race relations aboriginal australians social life and customs the dreaming other essays
indigenous knowledge,"heartsick for country: stories of love, spirit and creation",book,aboriginal australians land tenure aboriginal australians folklore aboriginal australians ethnic identity heartsick for country stories of love spirit and creation
indigenous knowledge,dingo makes us human: life and land in an aboriginal australian culture,book,aboriginal australians land tenure northern territory yarralin aboriginal australians northern territory yarralin social conditions aboriginal australians northern territory yarralin religion dingo makes us human life and land in an aboriginal australian culture
research and evidence based practice,british journal of nursing,journal,nursing periodicals nursing great britain periodicals nursing british journal of nursing
acute mental health,schizophrenia research,journal,schizophrenia periodicals schizotypal personality disorder periodicals schizophrenia schizophrenia research
the sustainable hotel environment,journal of sustainable tourism,journal,tourism periodicals tourism environmental aspects periodicals tourism social aspects periodicals journal of sustainable tourism
"health systems, policies and practices",public management review,journal,local government periodicals public administration public administration periodicals public management review
human resource management,personnel review,journal,personnel management periodicals personnel management periodicals employer employee relationships personnel review
rural and regional planning,australian planner,journal,land use planning periodicals regional planning australia periodicals australia australian planner
visual arts studio studies iv,printmaking: a contemporary perspective,book,art and design druckgrafik prints technique printmaking a contemporary perspective
emerging technology in business,systems analysis and design in a changing world,book,system design system analysis computers systems analysis and design in a changing world
"health systems, policies and practices",international journal of health care quality assurance,journal,health services administration periodicals medical care quality control periodicals quality assurance health aspects periodicals international journal of health care quality assurance
exercise physiology for healthy individuals,research quarterly for exercise and sport,journal,physical education and training periodicals exercise periodicals sports periodicals research quarterly for exercise and sport
nursing in the australian context,the lancet,journal,medicine periodicals medicine gastroenterology the lancet
nursing in the australian context,bmj : british medical journal,journal,medicine periodicals medicine medicine great britain periodicals bmj british medical journal
qualitative research methods for health,qualitative methods for health research,book,qualitative research public health research medical care research qualitative methods for health research
research for social work,reading and understanding research,book,research methodology research reading reading and understanding research
understanding the business environment,management decision,journal,management periodicals management publications pe riodiques management decision
understanding the business environment,human resource management journal,journal,personnel management periodicals personnel management menselijke hulpbronnen human resource management journal
understanding the business environment,corporate communications,journal,communication in management communication in management periodicals communication in organizations periodicals corporate communications
food and beverage operations,british food journal,journal,food adulteration and inspection periodicals food marketing periodicals food industry and trade great britain periodicals british food journal
design and technology principles and processes,design: intelligence made visible,book,industrial design art art instruction art design intelligence made visible
english education iii issues,literacy in australia: pedagogies for engagement,book,language arts primary australia reading primary australia english language composition and exercise study and teaching literacy in australia pedagogies for engagement
hospitality services management,in search of hospitality: theoretical perspectives and debates,book,hospitality industry philosophy hospitality philosophy philosophy and civilization in search of hospitality theoretical perspectives and debates
midwifery continuity partnerships a,women and birth,journal,midwives periodicals midwifery periodicals midwifery women and birth
ecological and environmental economics for sustainable development,forest ecology and management,journal,forest ecology periodicals forests and forestry periodicals forest management periodicals forest ecology and management
criminology,the age,journal,melbourne vic newspapers australia victoria melbourne australian newspapers victoria melbourne the age
local government,sustainable development,journal,sustainable development periodicals sustainable development economic development environmental aspects periodicals sustainable development
critical literature review i,international journal of science and mathematics education,journal,science study and teaching periodicals mathematics study and teaching mathematics study and teaching periodicals international journal of science and mathematics education
leadership and advocacy in early childhood,contemporary issues in early childhood,journal,children periodicals social work with children child behavior electronic journals contemporary issues in early childhood
understanding the business environment,journal of managerial psychology,journal,management psychological aspects periodicals organizational behavior periodicals psychology industrial periodicals journal of managerial psychology
"human growth, development and ageing",plos one,journal,1109 neurosciences plos one
adult learning,new directions for adult and continuing education,journal,continuing education united states periodicals adult education united states periodicals united states new directions for adult and continuing education
adult learning,american psychologist,journal,psychology periodicals american psychologist
indigenous case management,renal society of australasia journal,journal,urology periodicals kidney diseases kidney diseases periodicals renal society of australasia journal
"peace, war and international politics",review of international political economy,journal,review of international political economy
"peace, war and international politics",european journal of international relations,journal,international relations world politics europe european journal of international relations
"peace, war and international politics",prism,journal,australian poetry periodicals australian poetry 20th century periodicals poetry society of australia periodicals prism
"peace, war and international politics",annual review of political science,journal,political science political science periodicals science politique pe riodiques annual review of political science
"peace, war and international politics",international security,journal,military policy nuclear nonproliferation periodicals politique militaire pe riodiques international security
"peace, war and international politics",international peacekeeping,journal,international police periodicals peacekeeping forces periodicals united nations armed forces periodicals international peacekeeping
"peace, war and international politics",the globalization of world politics: an introduction to international relations,book,international relations world politics globalization the globalization of world politics an introduction to international relations
"peace, war and international politics",journal of peace research,journal,peace periodicals international relations periodicals peace journal of peace research
"peace, war and international politics",foreign affairs,journal,world politics 20th century periodicals international relations periodicals international relations bibliography periodicals foreign affairs
engaging with children and young people,australasian psychiatry,journal,psychiatry australasia periodicals psychiatry psychiatry periodicals australasian psychiatry
engaging with children and young people,researching childrens experience: methods and approaches,book,children research children research methodology 70 03 methods techniques and organization of social science research researching childrens experience methods and approaches
the australian health care system,australian journal of primary health,journal,primary health care australia periodicals primary health care primary health care australian journal of primary health
organisational behaviour power and the human resource management activist,human resource management review,journal,personnel management united states periodicals resource management united states human resource management review
culture and change implementation,leader to leader,journal,nonprofit organizations management periodicals organizational change periodicals leadership periodicals leader to leader
fisheries biology,journal of fish biology,journal,fishes periodicals fishes great britain periodicals ichthyologie journal of fish biology
organisational behaviour power and the human resource management activist,journal of management,journal,management periodicals management business general business journal of management
midwifery internship,american journal of preventive medicine,journal,preventive medicine health and social care preventieve geneeskunde american journal of preventive medicine
public interest advocacy,annual review of sociology,journal,sociology sociology periodicals sociologie pe riodiques annual review of sociology
nutrition physiology,journal of dental research,journal,dentistry periodicals dentistry social aspects periodicals research journal of dental research
coral reefs on the edge,marine ecology,book,biotic communities fisheries environmental aspects marine animals marine ecology
doing social research,research methods: a practical guide for the social sciences,book,social sciences research methodology handbooks manuals etc social sciences research methodology onderzoeksmethoden research methods a practical guide for the social sciences
coral reefs on the edge,coral reefs,book,re cifs coralliens coral reefs ecology coral reefs
high acuity midwifery,"obstetrics, gynaecology & reproductive medicine",journal,pregnancy periodicals genital diseases female gyne cologie pe riodiques obstetrics gynaecology reproductive medicine
sensory cultures,new scientist,journal,science periodicals technology periodicals science new scientist
high acuity midwifery,international journal of mental health nursing,journal,psychiatric nursing australia periodicals psychiatric nursing new zealand periodicals psychiatric nursing periodicals international journal of mental health nursing
midwifery continuity partnerships b,the australian,journal,sydney n s w newspapers australia newspapers australian newspapers new south wales sydney the australian
the mental health of australian indigenous peoples,psychotherapy and politics international,journal,politics periodicals psychotherapy periodicals psychotherapy psychotherapy and politics international
"writing place landscapes, memory, history",the post-colonial studies reader,book,decolonization in literature colonies in literature imperialism in literature the post colonial studies reader
environmental chemistry,land use policy,journal,land use government policy periodicals land use periodicals land use policies of governments serials land use policy
the mental health of australian indigenous peoples,counselling psychology quarterly,journal,counseling periodicals counseling psychology periodicals counseling periodicals counselling psychology quarterly
global marketing,herald sun,journal,australian newspapers victoria melbourne melbourne vic newspapers australian newspapers herald sun
coastal marine ecosystems,austral ecology,journal,ecology southern hemisphere periodicals ecology australia periodicals austral ecology
global marketing,the courier mail,journal,queensland pictorial works periodicals the courier mail
culture and change implementation,journal of world business,journal,business periodicals personnel management periodicals marketing periodicals journal of world business
racism and eugenics,the guardian,journal,great britain politics and government 1702 1714 periodicals english essays 18th century periodicals english essays the guardian
introductory homeopathy,the principles and art of cure by homoeopathy: a modern textbook,book,homeopathy alternative medicine the principles and art of cure by homoeopathy a modern textbook
human resource management,journal of organizational behavior,journal,industrial sociology periodicals psychology industrial periodicals organizational behavior periodicals journal of organizational behavior
human resource management,human resource development international,journal,manpower planning periodicals personnel management periodicals manpower planning human resource development international
art after 1960,the end of the history of art?,book,art historiographie vasari giorgio 1511 1574 visual arts historiology the end of the history of art
allied health honours thesis i,research methods in education,book,education research great britain education research great britain research methods in education
inclusive teaching,teaching in inclusive school communities,book,mainstreaming in education progressive education special education teaching in inclusive school communities
colonising histories,quadrant,journal,australian literature history and criticism periodicals australian literature periodicals literature history and criticism periodicals quadrant
colonising histories,griffith review,journal,australian literature periodicals social change australia periodicals communication social aspects australia periodicals griffith review
allied health honours thesis i,evaluation in the face of uncertainty: anticipating surprise and responding to the inevitable,book,social service evaluation evaluation research social action programs reference research evaluation in the face of uncertainty anticipating surprise and responding to the inevitable
allied health honours thesis i,do it yourself social research,book,social sciences research sociology research social surveys do it yourself social research
allied health honours thesis i,"practical program evaluation: assessing and improving planning, implementation, and effectiveness",book,evaluation research social action programs social science research social science methodology practical program evaluation assessing and improving planning implementation and effectiveness
allied health honours thesis i,basics of qualitative research: techniques and procedures for developing grounded theory,book,grounded theory social sciences statistical methods social sciences research basics of qualitative research techniques and procedures for developing grounded theory
allied health honours thesis i,"evaluation fundamentals: insights into the outcomes, effectiveness, and quality of health programs",book,medical care evaluation public health evaluation outcome assessment medical care evaluation fundamentals insights into the outcomes effectiveness and quality of health programs
allied health honours thesis i,"principles of assessment and outcome measurement for occupational therapists and physiotherapists: theory, skills and application",book,physical therapy disability evaluation occupational therapy principles of assessment and outcome measurement for occupational therapists and physiotherapists theory skills and application
communication development across the lifespan,policy,journal,policy sciences periodicals australia economic conditions 1976 1990 periodicals political planning australia periodicals policy
allied health honours thesis i,systematic approaches to a successful literature review,book,research methodology research methods review literature as topic systematic approaches to a successful literature review
ocean change biology,ecology letters,journal,ecology periodicals ecology zeitschrift ecology letters
colonising histories,australian journal of politics & history,journal,c5 780199 other 430111 history other australian journal of politics history
allied health honours thesis i,social research methods: qualitative and quantitative approaches,book,sociology research methodology social sciences research methodology qualitative research social research methods qualitative and quantitative approaches
communication development across the lifespan,"journal of speech, language, and hearing research",journal,speech disorders hearing language disorders journal of speech language and hearing research
foundations to nursing,law for nurses and midwives,book,nursing law and legislation nursing law and legislation australia midwives legal status laws etc australia law for nurses and midwives
social work foundations for practice,british journal of social work,journal,social service periodicals social service social workers periodicals british journal of social work
social work foundations for practice,the economic and labour relations review,journal,industrial relations australia periodicals australia economic conditions periodicals economics research australia periodicals the economic and labour relations review
social work foundations for practice,guardian,journal,great britain politics and government 1702 1714 periodicals english essays 18th century periodicals english essays guardian
midwifery continuity partnerships d,archives of disease in childhood,journal,children diseases treatment pediatrics practice periodicals pediatrics periodicals archives of disease in childhood
healthcare professional portfolio part a,journal of allied health,journal,health occupations education periodicals allied health personnel periodicals paramedical education periodicals journal of allied health
healthcare professional portfolio part a,western journal of nursing research,journal,nursing periodicals research periodicals nursing west u s periodicals western journal of nursing research
"conventions, meetings and exhibitions management",journal of convention and exhibition management,journal,hospitality industry management periodicals exhibitions united states management periodicals hospitality industry periodicals journal of convention and exhibition management
entrepreneurship,sydney morning herald,journal,sydney morning herald
"hospitality history, politics and culture",the service industries journal,journal,service industries periodicals service industries great britain periodicals economics periodicals the service industries journal
graduate studies project part i of ii,singapore medical journal,journal,medicine periodicals singapore medical association periodicals medicine singapore medical journal
advanced secondary curriculum pedagogy ii,educational researcher,journal,education research australia periodicals education research australia educational researcher
criminal process,principles of criminal law,book,criminal law australia criminal law australia principles of criminal law
clinical assessment and diagnostic reasoning,clinical reasoning: learning to think like a nurse,book,nursing study and teaching medical logic australian clinical reasoning learning to think like a nurse
poetics,english journal,journal,english philology study and teaching periodicals english philology periodicals english language study and teaching secondary periodicals english journal
food and drink in contemporary society,food studies: an introduction to research methods,book,food research food study and teaching food research methodology food studies an introduction to research methods
criminal process,new zealand law review,journal,law law new zealand periodicals new zealand new zealand law review
qualitative research methods,ssrn electronic journal,journal,ssrn electronic journal
religions and the state,current sociology,journal,sociology sociology periodicals current sociology
primary health care midwifery,patient experience journal,journal,medicine general patient satisfaction hospital care periodicals patient experience journal
primary health care and nursing practices,community health and wellness: primary health care in practice,book,social medicine australia health promotion social aspects australia public health social aspects australia community health and wellness primary health care in practice
"curriculum, assessment and new media",curriculum: action on reflection,book,education curricula curriculum planning curriculum evaluation curriculum action on reflection
"the role of the midwife as leader, mentor and educator",the social context of birth,book,childbirth social aspects women social conditions socioeconomic factors the social context of birth
qualitative research methods,business research methods,book,industrial management research onderzoeksmethoden bedrijfskunde business research methods
primary health care midwifery,bmc pregnancy and childbirth,journal,childbirth periodicals pregnancy periodicals childbirth bmc pregnancy and childbirth
"the role of the midwife as leader, mentor and educator",action research,journal,sciences sociales recherche pe riodiques services sociaux recherche pe riodiques social sciences research periodicals action research
qualitative research methods,journal of clinical nursing,journal,nursing periodicals nursing care periodicals nursing journal of clinical nursing
global social movements,sociological theory,journal,sociology philosophy periodicals sociology periodicals sociology philosophy sociological theory
the big picture global media,international journal of cultural studies,journal,culture periodicals popular culture periodicals culture study and teaching international journal of cultural studies
utilising research to promote quality in health care,australian journal of advanced nursing,journal,nursing nursing periodicals nursing australia periodicals australian journal of advanced nursing
the big picture global media,youth studies australia,journal,youth employment australia periodicals youth periodicals youth australia periodicals youth studies australia
bioinformatics,nature,journal,biology ciencia publicaciones periodicas sciences pe riodiques nature
transition to the profession,review of educational research,journal,education periodicals education united states periodicals education bibliography periodicals review of educational research
the big picture global media,australian journal of communication,journal,communication periodicals mass media australia periodicals intercultural communication periodicals australian journal of communication
"advanced research seminar in tourism, hospitality and events",planning research in hospitality and tourism,book,hospitality industry research tourism research hotels planning planning research in hospitality and tourism
contemporary issues in accounting,business review weekly,journal,australia economic conditions periodicals finance australia periodicals business periodicals business review weekly
teaching and supervision in a clinical setting,internal medicine journal,journal,medicine periodicals medicine medicine australia periodicals internal medicine journal
utilising research to promote quality in health care,how to read a paper: the basics of evidence-based medicine,book,evidence based medicine medical literature evaluation research how to read a paper the basics of evidence based medicine
"advanced research seminar in tourism, hospitality and events",the practice of social research,book,social sciences research social sciences methodology methodologie the practice of social research
export management,journal of the academy of marketing science,journal,marketing periodicals marketing pe riodiques marketing journal of the academy of marketing science
bioinformatics,evolution,book,evolution biology biological evolution evolution evolution
the big picture global media,television & new media,journal,digital media periodicals television periodicals massamedia television new media
us history from reconstruction to globalization,journal of american history,journal,united states history periodicals united states journal of american history
curriculum specialisation music i,music educators journal,journal,music instruction and study music instruction and study periodicals music periodicals music educators journal
paediatric speech and language internal clinic,"towards 2000 : embracing change, challenge and choice : proceedings of the 1999 speech pathology australia national conference / edited by sharynne mcleod and lindy mcallister.",book,speech disorders speech disorders australia congresses speech therapy australia congresses towards 2000 embracing change challenge and choice proceedings of the 1999 speech pathology australia national conference edited by sharynne mcleod and lindy mcallister
