COURSENAME,COMBINED_TITLE,RESOURCE_TYPE,SUBJECTS
academic writing,writing for scholars a practical guide to making sense being heard,book,academic writing english language rhetoric academic writing style manuals
academic writing,academic writing and grammar for students,book,dissertations academic authorship handbooks manuals etc academic writing handbooks manuals etc academic writing
academic writing,they say,book,report writing handbooks manuals etc english language rhetoric handbooks manuals etc persuasion rhetoric handbooks manuals etc
academic writing,write it right the secrets of effective writing,book,reference writing skills engelska spra ket retorik
academic writing,clueless in academe how schooling obscures the life of the mind,book,education higher social aspects united states learning and scholarship united states united states
accommodation operations,amg accommodation management guide,journal,hotel management australia periodicals hotels australia periodicals
accommodation operations,journal of tourism futures,journal,tourism periodicals travel periodicals travel
accommodation operations,international journal of work organisation and emotion,journal,380108 industrial and organisational psychology 720403 management emotion
accommodation operations,aviation security international the journal of airport airline security,journal,aviation security
accommodation operations,research in hospitality management,journal,hospitality industry management periodicals hospitality industry research periodicals
accommodation operations,cauthe 2014 tourism and hospitality in the contemporary world trends changes and complexity,book,
accountability and collaboration,teaching exceptional diverse and at risk students in the general education classroom,book,inclusive education united states learning disabled children education united states mainstreaming in education united states
accountability and collaboration,the inclusive classroom strategies for effective instruction,book,inclusive education united states classroom management united states mainstreaming in education united states
accountability and collaboration,special education perspectives,journal,special education australia periodicals special education periodicals australia
accountability and collaboration,inclusive instruction evidence based practices for teaching students with disabilities,book,learning disabled children education inclusive education psychology psychotherapy child adolescent
accounting for business,the corporate citizen,journal,associations institutions etc periodicals corporations periodicals social responsibility of business periodicals
accounting for business,mandala,journal,buddhism periodicals mahayana buddhism periodicals mahayana buddhism
accounting for managers,financial accounting in australia,book,accounting australia accounting australia problems exercises etc accounting
accounting processes,sports station a manual accounting practice set,book,
accounting theory and accountability,accounting theory and accountability,book,social accounting japan accounting japan accounting japan history
accounting theory and governance,accounting research prospects,article,ethics research accounting
accounting theory and governance,accounting forum,journal,accounting australia periodicals accounting periodicals accounting
accounting theory and governance,the a priori wars the modernisation of accounting thought,article,era2010
acquisition of human resources,hr professionals beliefs about and knowledge of assessment techniques and psychometric tests,article,checked by library
acquisition of human resources,tweet your tune,article,general interest news opinion and commentary twitter online social network
acquisition of human resources,commonsense talent management using strategic human resources to improve company performance,book,employee selection manpower planning personnel management
acquisition of human resources,overconfidence in personnel selection when and why unstructured interview information can hurt hiring decisions,article,
acquisition of human resources,faking and personality assessment in personnel selection advancing models of faking,article,
acquisition of human resources,web based multisource reference checking an investigation of psychometric integrity and applied benefits,article,
acquisition of human resources,vikalpa,journal,management periodicals decision making periodicals management
acquisition of human resources,competencies at work providing a common language for talent management,book,role competency motivation
acquisition of human resources,relationships of analytical practical and emotional intelligence with behavioral dimensions of performance of top managers,article,company business management management dynamics leadership
acquisition of human resources,what is or should be the difference between competency modeling and traditional job analysis,article,hospitality industry vocational guidance business international hospitality industry employees training of
acquisition of human resources,the best and the rest revisiting the norm of normality of individual performance,article,checked by library
acquisition of human resources,the great eight competencies a criterion centric approach to validation,article,
acquisition of human resources,developing a nomological network for interview structure antecedents and consequences of the structured selection interview,article,renewable energy sources tax incentives solar technology taxation
acquisition of human resources,personnel selection adding value through people a changing picture,book,employee selection business economics organizational behavior business economics industrial management
acquisition of human resources,a review of the content criterion related and construct related validity of assessment center exercises,article,
acquisition of human resources,behavioural interviewing,article,motivational interviewing randomized controlled trial research support non u s gov t
acquisition of human resources,recruitment strategies should not be randomly selected empirically improving recruitment success and diversity in developmental psychology research,article,case study checked by library mathematics education
act one screenwriting,writing in pictures screenwriting made mostly painless,book,motion picture authorship screenwriting reference writing skills
act one screenwriting,writing the romantic comedy the art and craft of writing screenplays that sell,book,love in motion pictures comedy films motion picture authorship
act one screenwriting,the screenwriters bible a complete guide to writing formatting and selling your script,book,television authorship motion picture authorship motion picture authorship
act one screenwriting,which lie did i tell more adventures in the screen trade,book,motion picture authorship motion picture industry california los angeles goldman william 1931
act one screenwriting,screenplay,book,motion picture industry fiction fiction literary large print books
act one screenwriting,on the waterfront,book,on the waterfront motion picture schulberg budd on the waterfront on the waterfront
act one screenwriting,making a good script great,book,motion picture authorship motion pictures authorship drehbuch
act one screenwriting,scriptwriting updated new and conventional ways of writing for the screen,book,motion picture plays technique motion picture authorship scriptwriting
acting and performance,actor training,book,acting study and teaching drama study and teaching performing arts acting auditioning
acting and performance,exercises for rebel artists radical performance pedagogy,book,cross cultural orientation activity programs artists training of performance art study and teaching
acting and performance,school book 2,book,performance art study and teaching england bristol performance art study and teaching illinois chicago
acting and performance,the theatre and its double antonin artaud translated by victor corti,book,theater theater drama 20th century history and criticism
action learning for reflective practitioners,on reflection reflective practice for early childhood educators,book,early childhood education new zealand handbooks manuals etc experiential learning early childhood education new zealand
action learning for reflective practitioners,doing and writing action research,book,action research report writing report writing handbooks manuals etc
action learning for reflective practitioners,writing and doing action research,book,action research report writing academic writing
acute mental health,continuum minneap minn,journal,nervous system diseases neurology study guides periodicals neurology periodicals
acute mental health,traumatology,journal,stress psychological electronic journals psychotherapy periodicals psychic trauma treatment periodicals
acute mental health,borderline personality disorder and emotion dysregulation,journal,borderline personality disorder emotions periodicals emotions
acute mental health,thomas s szasz the man and his ideas,book,szasz thomas 1920 2012 psychiatry social control informal
acute mental health,shanghai archives of psychiatry,journal,mental disorders periodicals mental disorders mental health
addiction and aboriginal communities,addictions and healing in aboriginal country,book,aboriginal australians health and hygiene aboriginal australians medical care aboriginal australians drug use
addiction and aboriginal communities,indigenous australia and alcohol policy meeting difference with indifference,book,aboriginal and torres strait islander policy aborigines australian alcohol use government policy substance use social and economic aspects
addiction and aboriginal communities,pimatisiwin a journal of aboriginal and indigenous community health,journal,native peoples health and hygiene canada periodicals canada native peoples medical care canada periodicals
addiction and aboriginal communities,records guide vol 1 a guide to queensland government records pertaining to aboriginal and torres strait islander people,book,federal council for the advancement of aborigines and torres strait islanders history australia race relations history open access
addiction and aboriginal communities,drug science policy and law,journal,drug abuse great britain periodicals drugs research drug and narcotic control
addiction and aboriginal communities,why warriors lie down and die towards an understanding of why the aboriginal people of arnhem land face the greatest crisis in health and education since european contact djambatj mala,book,yolngu australian people aboriginal australians northern territory arnhem land yolngu australian people health and hygiene
addiction and aboriginal communities,whats wrong with addiction,book,alcoholism substance abuse psychological aspects compulsive behavior
addiction and aboriginal communities,drinking and alcoholism in australia a power relations theory,book,australia alcoholism substance use social and economic aspects
addiction and aboriginal communities,janus head,journal,arts american arts american periodicals
addiction and aboriginal communities,pimatisiwin a journal of indigenous and aboriginal community health,journal,aboriginal australian health rural health services australia
addiction and aboriginal communities,australian journal of public health,journal,public health australia periodicals health services community health services periodicals
addiction and aboriginal communities,bina goonj bridging cultures in aboriginal health,book,aboriginal australians health and hygiene aboriginal australians social conditions aboriginal australians medical care
adolescent health and development,pubertal development and behavior hormonal activation of social and motivational tendencies,article,treatment of sex offenders paper presented at the australian institute of criminology conference in 1997 child sexual abuse
adolescent health and development,how mental health smart are you analysis of responses to an australian broadcasting corporation news website quiz,article,
adolescent health and development,responding to todays mental health needs of children families and schools revisiting the preservice training and preparation of school based personnel,article,school industry partnerships curriculum planning stem
adolescent health and development,teaching students to de stress over testing some districts are taking steps to help students better cope with test anxiety and other stresses of school,article,
adolescent health and development,human brain mapping,journal,brain mapping periodicals brain mapping periodicals brain mapping periodicals
adolescent health and development,the mental health of young people in australia key findings from the child and adolescent component of the national survey of mental health and well being,article,health related quality of life physical disorders adolescents
adolescent health and development,the effectiveness of assertiveness training on the levels of stress anxiety and depression of high school students,article,homeless youth statistics demographic aspects rosenberg self esteem scale
adolescent health and development,the role of puberty in the developing adolescent brain,article,science research brain research neurobiology research
adolescent health and development,medicine and health rhode island,journal,medicine health health periodicals
adolescent health and development,journal of exercise physiology online,journal,exercise physiological aspects exercise physiological aspects periodicals exercise physiology
adolescent health and development,accuracy of teachers in identifying elementary school students who report at risk levels of anxiety and depression,article,
adolescent health and development,perspectives and approaches to the dynamic and developmental issues in adolescent health care,article,company business management management dynamics elderly day care programs
adolescent health and development,development of the adolescent brain implications for executive function and social cognition,article,motor development psychology experimental attention
adolescent health and development,self control and grit,article,
adolescent health and development,true grit trait level perseverance and passion for long term goals predicts effectiveness and retention among novice teachers,article,
adolescent health and development,exercise and mental health an exercise and sports science australia commissioned review,article,
adolescent health and development,the mindfulness acceptance workbook for social anxiety shyness using acceptance and commitment therapy to free yourself from fear reclaim your life,book,bashfulness acceptance and commitment therapy social phobia treatment
adolescent health and development,iranian red crescent medical journal,journal,medicine iran periodicals medicine iran
adolescent health and development,school mental health,journal,
adolescent health and development,education week,journal,education united states periodicals united states education
adolescent health and development,the achper australia healthy lifestyles journal,journal,recreation periodicals physical education and training periodicals physical education and training australia periodicals
adolescent health and development,the effect of peer bullying education on adolescents knowledge attitudes and behaviors towards bullying,article,education bullying psychology and mental health
adult learning,training,journal,employees training of periodicals employees training of personnel management
adult learning,blended learning research perspectives,journal,distance education blended learning on campus education
adult learning in education and work,constituent aspects of workplace guidance in secondary vet,article,u at qn surveys skills
adult learning in education and work,guided reflection model how executive coaching can assist organizational leaders enhance their creativity innovation and wisdom,article,
adult learning in education and work,managerial coaching,article,executive ability executive coaching organizational change management
adult learning in education and work,european journal of training and development,journal,career development periodicals employees training of europe periodicals employees training of
adult learning in education and work,american journal of educational research,journal,
adult learning in education and work,understanding adult learning in the midst of complex social liquid modernity,article,media technology education human computer interaction
adult learning in education and work,guided instruction,book,mathematics study and teaching primary learning teaching methods materials mathematics
adult learning in education and work,know thyself coaching for leadership using kolbs experiential learning theory,article,
adult learning in education and work,guided reflection a discussion of the essential components,article,computer science all evolutionary story telling materials science all
advanced business analysis and design,is development practice in new zealand organisations,article,new zealand communication in organizations industrial surveys
advanced business analysis and design,the gartner group monthly research review,journal,computers computers and office automation industries forrester research inc services
advanced business analysis and design,selection criteria for bpa tools 2h08 1h09 pages 1 8,article,
advanced business analysis and design,journal of research and practice in information technology,journal,computers periodicals electronic data processing periodicals information technology periodicals
advanced business data communications,lan switching and wireless ccna exploration companion guide,book,wireless lans examinations study guides telecommunications engineers certification examinations study guides telecommunication switching systems examinations study guides
advanced coastal biogeochemistry,estuarine coastal and shelf science,journal,estuarine oceanography periodicals estuarine biology periodicals seashore biology periodicals
advanced coastal biogeochemistry,acta oecologica,journal,ecology plant ecology periodicals plant ecology
advanced coastal biogeochemistry,fems microbiology ecology,journal,microbial ecology periodicals microbiology periodicals microbiologie pe riodiques
advanced coastal biogeochemistry,chemical geology,journal,geochemistry periodicals mineralogical chemistry periodicals geochemistry
advanced coastal biogeochemistry,estuaries,journal,estuarine biology periodicals estuaries periodicals estuarine biology
advanced coastal biogeochemistry,limnology and oceanography,journal,oceanography periodicals limnology periodicals oceanography
advanced coastal biogeochemistry,geochimica et cosmochimica acta,journal,geochemistry periodicals meteorites periodicals ge ochimie pe riodiques
advanced coastal biogeochemistry,seagrasses biology ecology and conservation,book,seagrasses biome decine herbes marines
advanced counselling practice,the mental health handbook a cognitive behavioural approach,book,mentally ill rehabilitation mental health problems exercises etc cognitive therapy
advanced counselling practice,the sage handbook of counselling and psychotherapy,book,psychotherapy counseling psychotherapy handbooks manuals etc
advanced counselling practice,an introduction to research in counselling and psychotherapy,book,psychotherapy research counseling research psychotherapy research methodology
advanced counselling practice,essential research findings in counselling and psychotherapy the facts are friendly,book,psychotherapy counseling
advanced counselling practice,the heart soul of change delivering what works in therapy,book,psychiatry differential therapeutics strategic therapy psychotherapy
advanced counselling practice,the complete adult psychotherapy treatment planner,book,psychiatric records handbooks manuals etc psychotherapy planning handbooks manuals etc psychotherapy
advanced counselling practice,clinical case formulations matching the integrative treatment plan to the client,book,psychotherapy study and teaching psychotherapists training of models psychological
advanced criminal law,beyond the sext technology facilitated sexual violence and harassment against adult women,article,sexual harassment laws regulations and rules law sexting
advanced criminal law,dirty pictures defamation reputation and nudity,article,obscenity law television broadcasting press law
advanced criminal law,the bounding of vice prostitution and planning law,article,law prostitution laws regulations and rules city planning and redevelopment law social aspects
advanced criminal law,legislation comment law reform decriminalization of sodomy act 1989 w a,article,
advanced criminal law,less guilty by reason of adolescence developmental immaturity diminished responsibility and the juvenile death penalty,article,juvenile delinquency child behaviour research science research
advanced criminal law,using laws designed to protect as a weapon prosecuting minors under child pornography laws,article,australia law child pornography laws regulations and rules
advanced criminal law,image based sexual abuse,article,sex crimes australia sexual abuse victims imagery psychology
advanced criminal law,the false promise of adolescent brain science in juvenile justice,article,dispute resolution law australia domestic relations law and legislation
advanced criminal law,comment murder and necessity following the siamese twins litigation,article,australian newspapers new south wales sydney australia new south wales u at ne
advanced criminal law,childrens rights and traditional values,book,children legal status laws etc congresses children legal status laws etc israel congresses children legal status laws etc
advanced criminal law,punishment and responsibility essays in the philosophy of law,book,punishment great britain criminal liability great britain criminal liability
advanced criminal law,criminalizing revenge porn,article,reform revenge pornography remedies reform criminal law criminal law
advanced criminal law,overcriminalization the limits of the criminal law,book,criminal law united states philosophy united states law criminal law general
advanced criminal law,the right not to be criminalized,book,criminal law philosophy criminal justice administration of moral and ethical aspects law and ethics
advanced criminal law,criminal laws materials and commentary on criminal law and process of new south wales,book,criminal procedure new south wales criminal law new south wales criminal law australia new south wales
advanced criminal law,the australian new zealand journal of criminology,journal,criminology australia periodicals criminology periodicals criminology
advanced criminal law,technology facilitated sexual violence a literature review of empirical research,article,online victimization online sexual harassment technology
advanced criminal law,editorial the politics of reaction,article,new south wales law and legislation new south wales crimes act 1900 s61ja rape
advanced criminal law,ohio state journal of criminal law,journal,criminal law united states criminal law united states periodicals
advanced criminal law,developmental psychology washington,journal,developmental psychology periodicals child psychology child development
advanced criminal law,rebutting the presumption of doli incapax,article,presumptions law appellate procedure rp v the queen [2016] hca 53 case
advanced criminal law,new directions in research on prostitution,article,police protection rape law
advanced criminal law,whose life is it anyway,article,whose life is it anyway phillip street theatre 1979 1989 sydney nsw 12 may 1987
advanced criminal law,conjoined twins separation as mutilation,article,wrongful life remedies damages law laws regulations and rules law
advanced criminal law,street prostitution ten facts in search of a policy,article,police protection rape law
advanced criminal law,the implications of uncertainty in the law of criminal causation for the one punch homicide offence in western australia,article,western australia western australia criminal code w austl crim code 281 family violence laws regulations and rules
advanced criminal law,the thomas kelly case why a one punch law is not the answer,article,not law law
advanced criminal law,the homosexual advance defence and the law body nexus towards a poetics of law reform,article,homosexuality law reform sex role
advanced criminal law,when heterosexual men kill homosexual men reflections of provocation law sexual advances and the reasonable man standard,article,provocation criminal law laws regulations and rules defense criminal procedure laws regulations and rules law
advanced criminal law,necessity private defence and the killing of mary,article,victoria abused women laws regulations and rules family violence laws regulations and rules
advanced criminal law,cleansing the metropolis sex work and the politics of zero tolerance,article,
advanced criminal law,male sex work and society,book,male prostitution male prostitutes social conditions social science popular culture
advanced criminal law,report of the committee on homosexual offences and prostitution,book,homosexuality great britain prostitution great britain male homosexuality great britain
advanced criminal law,tennessee law review,journal,law reports digests etc tennessee law reviews tennessee tennessee
advanced criminal law,very young offenders and the criminal justice system are we asking the right questions,article,federal state relations australia overseas comparisons united states
advanced criminal law,protections for children before the law an empirical analysis of the age of criminal responsibility the abolition of doli incapax and the merits of a developmental immaturity defence in england and wales,article,children in conflict with the law criminology not elsewhere classified united nations
advanced criminal law,criminal responsibility,book,criminal law philosophy criminal liability criminal law
advanced criminal law,beyond revenge porn the continuum of image based sexual abuse,article,australia sexual harassment laws regulations and rules law
advanced criminal law,the age of criminal responsibility revisited,article,justice juvenile courts juvenile delinquency
advanced criminal law,nottingham law journal,journal,law reviews great britain law england
advanced criminal law,provocation and homosexual advance masculinized subjects as threat masculinized subjects under threat,article,queensland law provocation criminal law
advanced criminal law,asking for it an anatomy of provocation,article,law culture
advanced criminal law,provocative reforms a comparative critique,article,stingel v the queen law law reform
advanced criminal law,the licensing of sex work regulatin an industry or enforcing public morality,article,
advanced criminal law,provocation law and facts dead women tell no tales tales are told about them,article,r v stingel ordinary man test holmes v director of public prosecutions
advanced criminal law,domestic homicide and the defence of provocation a tasmanian perspective on the jealous husband and the battered wife,article,family violence laws regulations and rules abused women laws regulations and rules law reform
advanced criminal law,the mythology of prostitution advocacy research and public policy,article,
advanced criminal law,murder by design the feel good factor and the criminal law,article,courts and sentencing murder criminology
advanced criminal law,conjoined twins the cutting edge,article,royal society of victoria periodicals science periodicals science
advanced criminal law,law text culture,journal,communication and culture australia periodicals culture and law periodicals indigenous peoples
advanced criminal law,opening pandoras box pleasure consent and consequence in the production and circulation of celebrity sex videos,article,studies in human society media studies sociology and social studies of science and technology
advanced criminal law,harvard journal of law gender,journal,united states sex discrimination legal status laws etc united states periodicals women legal status laws etc united states periodicals
advanced criminal law,sexting and sex offender registration do age gender and sexual orientation matter,article,
advanced criminal law,sexting how the state can prevent a moment of indiscretion from leading to a lifetime of unintended consequences for minors and young adults,article,sexting crimes against social sciences
advanced criminal law,legal and criminological psychology,journal,psychology forensic psychology great britain periodicals law psychological periodicals
advanced criminal law,the age of criminal responsibility developmental science and human rights perspectives,article,big data arts and humanities miscellaneous public understanding of science
advanced criminal law,r v secretary of state for the home department ex parte venables and thompson the age of innocence the concept of childhood in the punishment of young offenders,article,dispute resolution law australia domestic relations law and legislation
advanced criminal law,in search of the responsible subject history philosophy and social sciences in criminal law theory,article,popular culture bibliography research and development in the social sciences and humanities philosophy bibliography
advanced criminal law,current legal problems,journal,law law periodicals ue ce droit
advanced criminal law,oxford handbook of criminology,book,criminology criminology handbooks manuals etc crime
advanced criminal law,the law and anti social behaviour order campaign in western australia,article,western australia law laws regulations and rules
advanced criminal law,villainy and felony a problem concerning criminalization,article,periodicals pharmacy
advanced criminal law,crimes harms and wrongs on the principles of criminalisation,book,criminal law philosophy criminal law moral and ethical aspects criminal law
advanced criminal law,lectures on jurisprudence the philosophy of positive law,book,
advanced criminal law,the legal epidemiology of the teen sexting epidemic how the media influenced legislative outbreak,article,
advanced criminal law,european journal of crime criminal law and criminal justice,journal,law enforcement intelligence droit pe nal europe pe riodiques crime
advanced criminal law,revisiting lethal violence by men a reply,article,science research youth violence research law
advanced criminal law,let s get sexting risk power sex and criminalisation in the moral domain,article,criminology sociology socio legal studies
advanced criminal law,law and philosophy,journal,jurisprudence periodicals law philosophy periodicals rechtsfilosofie
advanced criminal law,the age of criminal responsibility the frontier between care and justice,article,federal issue committees and inquiries state issue
advanced criminal law,community safety journal brighton,journal,building automation congresses robotics congresses
advanced criminal law,legalizing prostitution from illicit vice to lawful business,book,prostitution netherlands case studies prostitution germany case studies prostitution law and legislation
advanced criminal law,the history of the criminal liability of children,article,torture cases convention against torture and other cruel inhuman or degrading treatment or punishment evaluation
advanced criminal law,god is a righteous judge strong and patient and god is provoked every day a brief history of the doctrine of provocation in england,article,criminal intent laws regulations and rules great britain law
