COURSENAME,COMBINED_TITLE,RESOURCE_TYPE,SUBJECTS
health and indigenous australian peoples,contemporary nurse,journal,nurse periodical australia care contemporary
organisational stakeholder management,industrial and commercial training,journal,employee industrial occupational periodical management personnel training train commercial
framing modernity,african arts,journal,university study africain periodical angeles california riodiques los african art center pe
children and the law,family process,journal,family process periodical psychotherapy psychology
australian criminal law i,university of new south wales law journal,journal,university new periodical wale australia south riodiques droit australie pe law journal
writing genre,writing fantasy & science fiction,book,authorship science fiction technique write fantasy
"the role of the midwife as leader, mentor and educator",health & social care in the community,journal,human social service welfare periodical public work community health care
"the role of the midwife as leader, mentor and educator",contemporary theories of learning : learning theorists ... in their own words,book,philosophy learn word theoriee contemporary n theorist theory adult
food and beverage management,"principles of food, beverage, and labor cost controls",book,food service principle cost control labor beverage
australian politics,"government, politics, power and policy in australia",book,science party social planning australia government politics power political policy
conveyancers professional practice,law society journal,journal,society law journal
conveyancers professional practice,proctor,journal,proctor
the learning environment,voices from the middle,journal,middle teach periodical language state voice literature art secondary study united
introduction to social welfare,new community quarterly,journal,development structure quarterly social periodical new problem australia community
introduction to social welfare,"australias welfare wars: the players, the politics and the ideologies",book,social war welfare state australia public player politics ideology policy
competitive strategy,european business review,journal,european enterprise europe economic integration periodical management review business international
social work direct practice i,"psychology, health & medicine",journal,periodical gesundheitspsychologie psychology health clinical medicine
financial planning,financial planning in australia,book,finance financial personal investment plan australia
postgraduate preparation,journal of medical internet research,journal,science information internet journal medical research library medicine
development across the lifespan,computers in human behavior,journal,human science process behavioral data psychology behavior computer
principles and practice of clinical accountability,ethics and law for the health professions,book,legislation ethic profession australia medical health law
leading professional learning communities,leadership: theory and practice,book,practice leadership case theory study
selfmanagement and lifestyle medicine,patient education and counseling,journal,patient counsel periodical education counseling health
marine systems science and management,annual review of marine science,journal,science annual periodical review marine
communicating at university,bmc medical informatics and decision making,journal,bmc informatics make medical clinical decision making medicine
selfmanagement and lifestyle medicine,british journal of nutrition,journal,nutrition voeding periodical british journal
caring for country,nourishing terrains: australian aboriginal views of landscape and wilderness,book,landscape aboriginal aborigine area tenure australia terrain view land australian attitude nourish wilderness
employment relationships,economic and labour relations review,journal,industrial economic periodical economics condition australia labour review research relation
theories of text and culture,literary theory: the complete guide,book,philosophy introduction textbooks complete guide literature theory criticism literary
social policy and law for social work,history australia,journal,history australia
studio elective i (visual arts),"knowledge, technology & policy",journal,science knowledge information periodical technical communication policy technology
appraising evidence,australian family physician,journal,physicians practice family periodical general australia australian physician medicine
the emerging practitioner,nurse educator,journal,teach nursing nurse periodical education educator study
introduction to evidence for health science practitioners,research methods in health: foundations for evidence-based practice,book,design evidence foundation service practice base health research method medicine
understanding community,the sociology of community connections,book,social sociology community connection neighborliness network
learning from country,canadian journal of education,journal,periodical education canada canadian journal
lifestyle medicine and professional practice,journal of the american college of cardiology,journal,cardiologie american periodical college cardiology riodiques pe journal
race and the law,asking the law question,book,aspect philosophy culture question ask political law
mediation and dispute resolution,negotiation journal,journal,conflict resolution periodical management dispute negotiation law journal
psychological and environmental influences in lifestyle medicine,american journal on addictions,journal,abuse disorder addiction american periodical treatment therapy substance relate journal
learning from country,ecological management & restoration,journal,periodical ecology management ecological restoration ecosystem
welfare law,issues facing australian families: human services respond,book,human face issue social service family australia work australian respond
human rights,cases and materials on international law,book,case material international law
aboriginal social realities,aboriginal law bulletin,journal,etc legal aboriginal bulletin periodical status australia indigenous australian people law
aboriginal social realities,australian historical studies,journal,historical new periodical zealand australia history australian study
aboriginal social realities,international review for the sociology of sport,journal,aspect social periodical review sociology international zeitschrift sport
welfare law,australian feminist law journal,journal,etc legal jurisprudence status periodical australia woman feminist lawyer australian law journal
telling tales introduction to digital storytelling,screen media arts: an introduction to concepts & practices,book,picture direction screen practice motion television concept production art introduction medium
welfare law,law institute journal,journal,journal law institute
introduction to psychology ii,journal of personality and social psychology,journal,psychologie social personality periodical sociale psychology riodiques pe journal
professional placement,the annals of the american academy of political and social science,journal,science social american periodical academy political annals
introduction to creative writing,the penguin book of australian women poets,book,text century penguin poetry english australia woman 19th poet australian book author
introduction to psychology ii,australian and new zealand journal of psychiatry,journal,new periodical psychiatry zealand australia australian journal
sustainable business management,climate policy,journal,change publication climatic periodical government climate policy riodiques pe environmental
modern art and the avantgarde,filozofski vestnik,journal,vestnik philosophy periodical filozofski
utilising philosophy in nursing practice,journal of medical ethics,journal,periodical medical journal ethic
professional development in education,teacher: the national education magazine,journal,teacher national periodical education australia magazine private school
unruly subjects citizenship,sexualities,journal,ethic periodical seksualiteit sexual sexuality behavior
trauma and resilience i,nursing research and practice,journal,nursing practice nurse periodical research
stakeholder engagement,business horizons,journal,unite economic periodical general state condition horizon business
visual arts studio studies i foundation,studies in art education,journal,teach enseignement periodical education riodiques e pe art tude study et
integrated project,beginning qualitative research: a philosophic and practical guide,book,science social begin qualitative guide practical research philosophic methodology
health promotion and primary health care,understanding health,book,promotion australia textbooks public health understand
knowing with community,the australian journal of indigenous education,journal,periodical strait education language indigenous islander australian torres study journal
professional experience i enhancing student learning,australian journal of education,journal,periodical education australia australian journal
contemporary australian indigenous issues,journal of australian studies,journal,intellectual periodical australia life australian civilization study journal
issues of protection,child & family social work,journal,social family welfare service periodical work child
textile science and innovation,textiles for modern living,book,industry live fabric textile fiber modern
curriculum studies in early childhood,australasian journal of early childhood,journal,australasia childhood early service periodical education australasian child care journal
counselling theory and practice,clinical psychology: science and practice,journal,science pathological practice periodical psychotherapy psychology clinical
curriculum studies in early childhood,rapunzels supermarket: all about young children and their art,book,rapunzels artist supermarket young child art
caring for kuntri indigenous environmental management,educational philosophy and theory,journal,philosophy teach educational periodical education theory
health research methodology,optometry today,journal,periodical today ophthalmology optometry
cultural and spiritual wellbeing,journal of advanced nursing,journal,nursing nurse advance periodical pflege journal
play and pedagogies in early childhood education,techniques for teaching young children: choices for theory and practice,book,infantil fo teach practice technique choice young n educacio child theory vorschulerziehung rskolepedagogik
environment and development,natural resources forum,journal,natuurlijke periodical power natural resource forum hulpbronnen
exercise and cardiopulmonary health,journal of science and medicine in sport,journal,aspect science physiological periodical journal exercise sport medicine
visions of light making music video,music video and the politics of representation,book,aspect social video representation politics music history feminism videos criticism
research and evidence based practice,indian journal of pharmacology,journal,periodical pharmacologie pharmacology indian journal
project management initiation and planning,project management journal,journal,projectmanagement journal management project
indigenous knowledge,learning communities: international journal of learning in social contexts,journal,vocational learn social context periodical education journal community international professional
human resource management,international journal of human resource management,journal,human periodical management capital personnel resource international journal
human resource management,harvard business review,journal,harvard economic periodical review history commerce business
indigenous knowledge,the dreaming & other essays,book,custom aboriginal social dream essay colonization australia history race life australian relation
indigenous knowledge,"heartsick for country: stories of love, spirit and creation",book,story spirit aboriginal tenure creation identity land country heartsick ethnic australian love folklore
indigenous knowledge,dingo makes us human: life and land in an aboriginal australian culture,book,human territory aboriginal yarralin social tenure culture religion condition dingo u life land make australian northern
research and evidence based practice,british journal of nursing,journal,nursing nurse periodical british britain great journal
acute mental health,schizophrenia research,journal,disorder periodical schizophrenia research schizotypal personality
the sustainable hotel environment,journal of sustainable tourism,journal,aspect social periodical tourism sustainable environmental journal
"health systems, policies and practices",public management review,journal,local administration periodical management public government review
human resource management,personnel review,journal,employee employer periodical management relationship personnel review
rural and regional planning,australian planner,journal,regional planning periodical australia use land planner australian
visual arts studio studies iv,printmaking: a contemporary perspective,book,druckgrafik design technique print printmaking perspective art contemporary
emerging technology in business,systems analysis and design in a changing world,book,change world design analysis system computer
"health systems, policies and practices",international journal of health care quality assurance,journal,aspect service administration periodical periodicals assurance medical health quality international control care journal
exercise physiology for healthy individuals,research quarterly for exercise and sport,journal,quarterly periodical education training research exercise physical sport
nursing in the australian context,the lancet,journal,lancet periodical gastroenterology medicine
nursing in the australian context,bmj : british medical journal,journal,bmj periodical journal british britain medical great medicine
qualitative research methods for health,qualitative methods for health research,book,public qualitative medical health research method care
research for social work,reading and understanding research,book,understanding methodology read research
understanding the business environment,management decision,journal,publication periodical management decision riodiques pe
understanding the business environment,human resource management journal,journal,menselijke human periodical management personnel resource hulpbronnen journal
understanding the business environment,corporate communications,journal,periodical management corporate organization communication
food and beverage operations,british food journal,journal,inspection adulteration industry food periodical journal british britain trade great marketing
design and technology principles and processes,design: intelligence made visible,book,visible industrial design instruction make art intelligence
english education iii issues,literacy in australia: pedagogies for engagement,book,teach pedagogy engagement language english australia primary literacy read composition art exercise study
hospitality services management,in search of hospitality: theoretical perspectives and debates,book,industry philosophy search hospitality theoretical perspective civilization debate
midwifery continuity partnerships a,women and birth,journal,birth midwife periodical midwifery woman
ecological and environmental economics for sustainable development,forest ecology and management,journal,periodical ecology management forest forestry
criminology,the age,journal,melbourne newspaper australia age australian victoria vic
local government,sustainable development,journal,aspect development economic periodical sustainable environmental
critical literature review i,international journal of science and mathematics education,journal,science teach mathematics periodical education study international journal
leadership and advocacy in early childhood,contemporary issues in early childhood,journal,issue early social childhood periodical journal work contemporary behavior child electronic
understanding the business environment,journal of managerial psychology,journal,aspect organizational industrial managerial periodical management psychological psychology behavior journal
"human growth, development and ageing",plos one,journal,neuroscience one 1109 plos
adult learning,new directions for adult and continuing education,journal,unite continue direction periodical education state new united adult
adult learning,american psychologist,journal,american periodical psychology psychologist
indigenous case management,renal society of australasia journal,journal,disease society urology periodical kidney renal australasia journal
"peace, war and international politics",review of international political economy,journal,review political economy international
"peace, war and international politics",european journal of international relations,journal,european world europe politics relation international journal
"peace, war and international politics",prism,journal,society century 20th periodical poetry prism australia australian
"peace, war and international politics",annual review of political science,journal,science annual periodical review political politique riodiques pe
"peace, war and international politics",international security,journal,nuclear periodical riodiques nonproliferation policy military politique militaire pe international security
"peace, war and international politics",international peacekeeping,journal,force periodical nation arm international united police peacekeeping
"peace, war and international politics",the globalization of world politics: an introduction to international relations,book,world globalization politics introduction relation international
"peace, war and international politics",journal of peace research,journal,periodical peace research relation international journal
"peace, war and international politics",foreign affairs,journal,affair century world 20th periodical bibliography politics foreign relation international
engaging with children and young people,australasian psychiatry,journal,australasia periodical psychiatry australasian
engaging with children and young people,researching childrens experience: methods and approaches,book,childrens 70 science 03 social technique approach organization research child method experience methodology
the australian health care system,australian journal of primary health,journal,periodical australia primary health australian care journal
organisational behaviour power and the human resource management activist,human resource management review,journal,human periodical management state personnel review resource united
culture and change implementation,leader to leader,journal,change nonprofit organizational leader periodical management leadership organization
fisheries biology,journal of fish biology,journal,biology periodical ichthyologie britain fish great journal
organisational behaviour power and the human resource management activist,journal of management,journal,periodical general management business journal
midwifery internship,american journal of preventive medicine,journal,social american journal preventive preventieve health geneeskunde care medicine
public interest advocacy,annual review of sociology,journal,annual periodical sociology review sociologie riodiques pe
nutrition physiology,journal of dental research,journal,aspect dentistry social periodical dental research journal
coral reefs on the edge,marine ecology,book,aspect biotic animal fishery ecology community marine environmental
doing social research,research methods: a practical guide for the social sciences,book,handbooks science etc social manual guide practical research onderzoeksmethoden method methodology
coral reefs on the edge,coral reefs,book,cifs coral ecology coralliens reef
high acuity midwifery,"obstetrics, gynaecology & reproductive medicine",journal,disease gyne gynaecology reproductive periodical cologie pregnancy genital female obstetrics riodiques pe medicine
sensory cultures,new scientist,journal,science new periodical scientist technology
high acuity midwifery,international journal of mental health nursing,journal,nursing nurse psychiatric periodical new zealand australia health mental international journal
midwifery continuity partnerships b,the australian,journal,w new newspaper wale australia south sydney n australian
the mental health of australian indigenous peoples,psychotherapy and politics international,journal,psychotherapy periodical international politics
"writing place landscapes, memory, history",the post-colonial studies reader,book,colonies reader post colonial decolonization literature imperialism study
environmental chemistry,land use policy,journal,periodical government serial use land policy
the mental health of australian indigenous peoples,counselling psychology quarterly,journal,counsel periodical psychology quarterly
global marketing,herald sun,journal,sun melbourne newspaper herald australian victoria vic
coastal marine ecosystems,austral ecology,journal,austral periodical ecology australia hemisphere southern
global marketing,the courier mail,journal,mail queensland periodical work pictorial courier
culture and change implementation,journal of world business,journal,world periodical management personnel business market journal
racism and eugenics,the guardian,journal,1714 century 18th periodical guardian essay english politics government britain 1702 great
introductory homeopathy,the principles and art of cure by homoeopathy: a modern textbook,book,alternative principle homeopathy textbook homoeopathy modern art cure medicine
human resource management,journal of organizational behavior,journal,organizational industrial periodical sociology psychology behavior journal
human resource management,human resource development international,journal,human development manpower planning periodical management plan personnel resource international
art after 1960,the end of the history of art?,book,historiographie 1511 end 1574 giorgio history historiology visual vasari art
allied health honours thesis i,research methods in education,book,education britain research method great
inclusive teaching,teaching in inclusive school communities,book,teach inclusive mainstreaming education progressive community school special
colonising histories,quadrant,journal,periodical quadrant history literature australian criticism
colonising histories,griffith review,journal,change aspect social periodical griffith australia review literature communication australian
allied health honours thesis i,evaluation in the face of uncertainty: anticipating surprise and responding to the inevitable,book,inevitable reference face anticipate social service respond evaluation program surprise research uncertainty action
allied health honours thesis i,do it yourself social research,book,survey science social sociology research
allied health honours thesis i,"practical program evaluation: assessing and improving planning, implementation, and effectiveness",book,science social evaluation program plan effectiveness improve practical implementation research assess action methodology
allied health honours thesis i,basics of qualitative research: techniques and procedures for developing grounded theory,book,science statistical basic social technique method qualitative procedures research theory ground develop
allied health honours thesis i,"evaluation fundamentals: insights into the outcomes, effectiveness, and quality of health programs",book,outcomes insight evaluation program effectiveness assessment public medical health quality outcome fundamental care
allied health honours thesis i,"principles of assessment and outcome measurement for occupational therapists and physiotherapists: theory, skills and application",book,application therapist occupational evaluation principle skill assessment measurement therapy outcome physiotherapist theory physical disability
communication development across the lifespan,policy,journal,science economic planning periodical condition 1990 australia policy political 1976
allied health honours thesis i,systematic approaches to a successful literature review,book,successful systematic approach review topic literature research method methodology
ocean change biology,ecology letters,journal,periodical zeitschrift ecology letter
colonising histories,australian journal of politics & history,journal,780199 politics c5 430111 history australian journal
allied health honours thesis i,social research methods: qualitative and quantitative approaches,book,science social quantitative approach sociology qualitative research method methodology
communication development across the lifespan,"journal of speech, language, and hearing research",journal,disorder language speech hearing research hear journal
foundations to nursing,law for nurses and midwives,book,etc legislation legal nursing nurse midwife status australia law
social work foundations for practice,british journal of social work,journal,worker social service periodical work british journal
social work foundations for practice,the economic and labour relations review,journal,industrial economic periodical economics condition australia labour review research relation
social work foundations for practice,guardian,journal,1714 century 18th periodical guardian essay english politics government britain 1702 great
midwifery continuity partnerships d,archives of disease in childhood,journal,disease childhood practice diseases pediatrics periodical treatment child archive
healthcare professional portfolio part a,journal of allied health,journal,periodical education paramedical personnel ally health occupation journal
healthcare professional portfolio part a,western journal of nursing research,journal,western nursing nurse periodical u west research journal
"conventions, meetings and exhibitions management",journal of convention and exhibition management,journal,unite convention industry hospitality periodical management state exhibition journal
entrepreneurship,sydney morning herald,journal,morning sydney herald
"hospitality history, politics and culture",the service industries journal,journal,industry service periodical economics britain great journal
graduate studies project part i of ii,singapore medical journal,journal,singapore periodical journal association medical medicine
advanced secondary curriculum pedagogy ii,educational researcher,journal,educational periodical education australia research researcher
criminal process,principles of criminal law,book,criminal principles law australia
clinical assessment and diagnostic reasoning,clinical reasoning: learning to think like a nurse,book,teach reason nursing learn nurse medical australian clinical like logic study think
poetics,english journal,journal,teach periodical language english philology secondary study journal
food and drink in contemporary society,food studies: an introduction to research methods,book,teach food research method introduction study methodology
criminal process,new zealand law review,journal,periodical new zealand review law
qualitative research methods,ssrn electronic journal,journal,journal ssrn electronic
religions and the state,current sociology,journal,sociology periodical current
primary health care midwifery,patient experience journal,journal,hospital satisfaction patient periodical general journal experience care medicine
primary health care and nursing practices,community health and wellness: primary health care in practice,book,promotion aspect social practice wellness australia public primary community health care medicine
"curriculum, assessment and new media",curriculum: action on reflection,book,evaluation plan education curriculum reflection action
"the role of the midwife as leader, mentor and educator",the social context of birth,book,birth aspect social context childbirth condition woman socioeconomic factor
qualitative research methods,business research methods,book,industrial management business research bedrijfskunde onderzoeksmethoden method
primary health care midwifery,bmc pregnancy and childbirth,journal,periodical childbirth pregnancy bmc
"the role of the midwife as leader, mentor and educator",action research,journal,science action social service periodical sociales recherche research riodiques sociaux pe
qualitative research methods,journal of clinical nursing,journal,nursing nurse periodical clinical care journal
global social movements,sociological theory,journal,philosophy periodical sociology sociological theory
the big picture global media,international journal of cultural studies,journal,popular teach culture cultural periodical study international journal
utilising research to promote quality in health care,australian journal of advanced nursing,journal,nursing nurse advance periodical australia australian journal
the big picture global media,youth studies australia,journal,periodical australia youth study employment
bioinformatics,nature,journal,ciencia publicaciones science nature periodicas pe riodiques biology
transition to the profession,review of educational research,journal,educational periodical education state review research united bibliography
the big picture global media,australian journal of communication,journal,mass periodical journal australia communication intercultural australian medium
"advanced research seminar in tourism, hospitality and events",planning research in hospitality and tourism,book,industry hotel hospitality plan research tourism
contemporary issues in accounting,business review weekly,journal,finance economic periodical condition australia review business weekly
teaching and supervision in a clinical setting,internal medicine journal,journal,periodical medicine internal australia journal
utilising research to promote quality in health care,how to read a paper: the basics of evidence-based medicine,book,basic evidence paper evaluation base medical literature research read medicine
"advanced research seminar in tourism, hospitality and events",the practice of social research,book,science social practice research methodologie methodology
export management,journal of the academy of marketing science,journal,science periodical journal academy riodiques market pe marketing
bioinformatics,evolution,book,evolution biological biology
the big picture global media,television & new media,journal,periodical new massamedia television digital medium
us history from reconstruction to globalization,journal of american history,journal,american periodical state history united journal
curriculum specialisation music i,music educators journal,journal,periodical educator instruction music study journal
paediatric speech and language internal clinic,"towards 2000 : embracing change, challenge and choice : proceedings of the 1999 speech pathology australia national conference / edited by sharynne mcleod and lindy mcallister.",book,sharynne proceeding mcleod 1999 challenge therapy edit embrace australia choice lindy change disorder national 2000 pathology mcallister congress towards speech conference
short story writing,how fiction works,book,fiction technique work history criticism
indigenous health promotion i,health promotion: principles and practice in the australian context,book,promotion practice context principle education australia health australian
learning and support frameworks,education for inclusion and diversity,book,disabilities inclusive education child inclusion diversity special
introduction to podiatry and pedorthics,sociology of health and illness,journal,social periodical illness sociology medical health medicine
exercise and musculoskeletal health,journal of physiological anthropology,journal,phenomenon anthropology physiological physical journal
knowing with community,"pan: philosophy, activism, nature",journal,century 20th pan philosophy nature periodical 21st literature australian activism
health research methodology,approaches to qualitative research: a reader on theory and practice,book,science reader social practice approach qualitative research theory
strategic management for tourism and hospitality enterprises,tourism management,book,management australia ecotourism market tourism
international tourism systems,tourism recreation research,journal,toerisme periodical recreation research tourism
services marketing,international journal of service industry management,journal,industry publication service periodical management periodiques international journal
tourism and hospitality research and analysis,journal of vacation marketing,journal,industry hospitality periodical journal vacation zeitschrift tourism marketing
hot topics feature journalism,journalism,journal,aspect periodical e journalism journalisme conomique
evidencebased health practice,the journal of nursing administration,journal,nursing nurse service administration periodical organization journal
professional experience i becoming a teacher,teaching challenges and dilemmas,book,teach dilemmas challenge australia textbook
professional auditing,accounting horizons,journal,account periodical state horizon research accounting united
international management,the leadership quarterly,journal,interpersonal quarterly leadership periodical management relation
quantitative research methods for health,nursing standard,journal,nursing nurse periodical britain standard great
the role of the perioperative nurse surgeons assistant,aorn journal (aorn j),journal,nursing nurse operating periodical room chirurgie geneeskunde j aorn journal
earth systems ii the hydrosphere,stream hydrology: an introduction for ecologists,book,cours de cologie stream ecologist e river hydrology introduction eau
global perspectives in music,black music research journal,journal,black american periodical music research african journal
global perspectives in music,will pop eat itself?,book,popmusik popular industry sound music history innovation pop eat technological record criticism
global perspectives in music,ethnomusicology,journal,ethnomusicology music periodical musicology
global perspectives in music,annual review of anthropology,journal,anthropology annual periodical review riodiques anthropologie pe
fisheries management,current biology,journal,periodical current biology
exercise biochemistry and drugs in sport,diabetologia,journal,diabetologia diabe diabetes periodical te riodiques pe
leading change in healthcare,british journal of healthcare management,journal,healthcare service administration periodical management british britain health great journal
contemporary hotel and tourism issues,tourism and hospitality research,journal,industry hospitality periodical research tourism
fisheries management,science,journal,natuurwetenschappen science periodical
social policy,social policy in the post-welfare state: australian society in a changing world,book,society change world social economic welfare state australia post policy australian
issues of protection,child protection: an introduction,book,abuse welfare protection prevention child introduction
hydrology,hydrology: an australian introduction,book,runoff australia australian hydrology introduction
indigenous research theory and practice,handbook of critical and indigenous methodologies,book,handbook science methode sociales indigenous recherche critical ethnology research methodology
marketing (online),marketing management and strategy: a reader,book,strategy reader management marketing
marketing (online),journal of advertising research,journal,publicite periodical reclame recherche research advertising riodiques pe journal
marketing (online),journal of service research,journal,industry service periodicals research customer journal
human rights and indigenous peoples,indigenous law bulletin,journal,etc legal aboriginal bulletin periodical status australia indigenous australian people law
evaluation for improved teaching and learning,discourse: studies in the cultural politics of education,journal,discourse cultural periodical education culturelle politics multicultural politique study
organisational change and development (online),leadership & organization development journal,journal,change organizational development leadership periodical organization bedrijfsmanagement journal
ecology,marine ecology progress series,journal,series periodical ecology cologie mariene e progress riodiques pe marine ecologie
entrepreneurship and marketing (online),the academy of management review,journal,industrial periodical management academy review
engineering management for a sustainable future,cradle to cradle: remaking the way we make things,book,remake aspect etc industrial design recycle management waste way thing cradle make environmental
evaluation of occupational therapy programs,introduction to research in the health sciences,book,science design medicine health research introduction methodology
strategic architecture of organisations,the academy of management executive,journal,change organizational periodical management academy executive
allied health honours seminar ii,the good research guide: for small-scale social research projects,book,handbook science etc good small scale social manual project guide research methodology
evaluation of occupational therapy programs,research methods in practice: strategies for description and causation,book,teach high practice research strategy causation graduate description method study methodology
addiction and aboriginal communities,pimatisiwin: a journal of aboriginal and indigenous community health,journal,native aboriginal pimatisiwin hygiene periodical indigenous community medical health canada people care journal
managing digital enterprise (online),mckinsey on business technology,journal,report service management consulting technology consultant business mckinsey computer
studying science,essential academic skills,book,high essential education skill academic achievement study
addiction and aboriginal communities,binan goonj: bridging cultures in aboriginal health,book,aboriginal social culture hygiene binan condition goonj medical health australian bridge care
contemporary issues in accounting theory,australian law reform commission reform journal,journal,reform periodical commission australia australian law journal
organisational change and development,the journal of management development,journal,middle development teach periodical management executive manager study train journal
organisational change and development,strategy & leadership,journal,strategy leadership
tourism and hotel internship,"controversies in management: issues, debates, answers",book,issue debate controversy management answer
"grief, trauma and crisis counselling","australian and new zealand journal of family therapy, the",journal,family periodical new zealand psychotherapy therapy australian journal
aboriginal community organisations ethics and sustainability,indiana business review,journal,economic periodical indiana condition review history business
nutrition across the lifespan,food & nutrition throughout life: a comprehensive overview of food and nutrition in all stages of life,book,overview nutrition comprehensive food throughout life stage habit
strategic marketing of destinations and hotels,destination marketing and management: theories and applications,book,application destination competition management theory market tourism marketing
marketing,nz marketing magazine,journal,nz new periodical zealand magazine advertising market marketing
disability and community practice,"psychiatry, psychology and law",journal,mentally criminal ill periodical psychiatry offender psychology forensic law
applied ethics and sustainability,case studies in business ethics,book,de ethic affaire bedrijfsethiek tudes e morale business case cas study
marketing,journal of marketing management,journal,periodical management journal serial market marketing
tourism and hotel internship,a managers guide to self-development,book,development success self management executive manager guide business ability
marketing,marketing theory,journal,algemeen riodiques theory market pe marketing
contemporary issues in accounting theory,australian financial accounting,book,financial australia standard australian statement accounting
employment and industrial relations law,mackens law of employment,book,legislation australia mackens labor law employment
research methods for arts and social sciences,communications toolkit,book,handbooks etc manual skill education work toolkit communication study group
foodservice operations,the cornell hotel and restaurant administration quarterly,journal,hotel quarterly restaurant periodical management cornell administration gestion riodiques pe
"hospitality history, politics and culture",journal of foodservice,journal,industry caterer food foodservice periodical cater trade journal
engineering for a sustainable future,academy of management review,journal,industrial periodical management academy review
overseas aid and international development (oua),international sociology,journal,change social periodical sociology international
