COURSENAME,SUBJECTS
acting and performance,theater experimental theater germany history 20th century experimental theater postdramatic theatre performing arts theater anthropological aspects rites and ceremonies performance studies an introduction acting study and teaching drama study and teaching performing arts acting auditioning actor training
acute mental health,schizophrenia periodicals schizotypal personality disorder periodicals schizophrenia schizophrenia research health sciences psychiatry psychology health sciences general and others american journal of psychiatry medical economics periodicals economics medical health services economics periodicals health economics psychiatry periodicals psychology pathological periodicals psychology periodicals british journal of psychiatry borderline personality disorder emotions periodicals emotions borderline personality disorder and emotion dysregulation european journal of psychotraumatology
addiction and aboriginal communities,native peoples health and hygiene canada periodicals canada native peoples medical care canada periodicals pimatisiwin a journal of aboriginal and indigenous community health aboriginal australians health and hygiene aboriginal australians social conditions aboriginal australians medical care binan goonj bridging cultures in aboriginal health aboriginal australians health and hygiene aboriginal australians medical care aboriginal australians drug use addictions and healing in aboriginal country nicotine addiction periodicals alcoholism periodicals drug addiction periodicals addictive behaviors drug abuse periodicals alcoholism prevention periodicals alcoholism treatment periodicals drug and alcohol review
adolescent health and development,psychologie current directions in psychological science education united states periodicals educational psychology periodicals education research united states periodicals education treatment of children school nursing school health services periodicals school health services the journal of school nursing cognition disorders brain periodicals brain brain and cognition
adult learning,continuing education united states periodicals adult education united states periodicals united states new directions for adult and continuing education psychology periodicals american psychologist
advanced business analysis and design,information systems [mesh] system design system analysis introducing systems development user interfaces computer systems interactive computer systems design human computer interaction designing interactive systems a comprehensive guide to hci and interaction design computer aided software engineering human computer interaction computers software development engineering tools process aware information systems bridging people and software through process technology australia action research action research methodology choice of software development methodologies do organizational project and team characteristics matter great britain public transport test method system development methodology usage in industry a review and analysis community development education tertiary education achievement where now for development methodologies computer programming periodicals programming electronic computers periodicals computer software ieee software
advanced coastal biogeochemistry,online journals regional access biogeochemical cycles periodicals biogeochemical cycles global biogeochemical cycles continental shelf periodicals continental shelf continental shelf research
advanced counselling practice,existential psychotherapy case studies existential psychotherapy psychotherapy loves executioner and other tales of psychotherapy psychotherapy research psychotherapy psychology psychotherapy general bergin and garfields handbook of psychotherapy and behavior change mental illness diagnosis mental illness classification mental disorders diagnosis diagnostic and statistical manual of mental disorders dsm 5 models psychological psychotherapy history psychological theory the basics of psychotherapy an introduction to theory and practice matrix method indexing medicine abstracting and indexing information storage and retrieval systems medicine health sciences literature review made easy the matrix method psychologie pe riodiques psychology periodicals psychology canadian psychology
advanced criminal law,criminology periodicals criminal justice administration of periodicals criminology criminology criminal justice criminal law great britain periodicals criminal law periodicals criminal law great britain the journal of criminal law socialism periodicals criminal justice administration of periodicals australian international journal for crime justice and social democracy sex and law periodicals women legal status laws etc periodicals feminism periodicals feminist legal studies australian new zealand journal of criminology criminal law philosophy criminal law moral and ethical aspects criminal law crimes harms and wrongs on the principles of criminalisation children legal status laws etc england parent and child law great britain periodicals child and family law quarterly deviant behavior periodicals social behavior disorders periodicals behavior periodicals deviant behavior law reviews north carolina law reviews law wake forest law review law great britain periodicals law periodicals great britain ue ce droit law quarterly review criminal procedure new south wales criminal law new south wales criminal law australia new south wales criminal laws materials and commentary on criminal law and process of new south wales philosophy psychology periodicals philosophy periodicals mind sexual harassment laws regulations and rules law sexting beyond the sext technology facilitated sexual violence and harassment against adult women criminal law review criminal law united states criminal law united states periodicals buffalo criminal law review criminal law criminal liability australia criminal law australia criminalisation and criminal responsibility in australia criminal law strafrecht united states new criminal law review sociological jurisprudence periodicals sociological jurisprudence sociologie juridique pe riodiques international journal of the sociology of law criminal law philosophy crime criminology central issues in criminal theory criminal law united states criminal law united states periodicals ohio state journal of criminal law law reviews pennsylvania pennsylvania law reviews university of pennsylvania law review law periodicals law australia periodicals law reviews australia periodicals the sydney law review law great britain periodicals great britain law the modern law review law periodicals law australia periodicals law reviews australia periodicals sydney law review the
advanced criminology,police periodicals police publications pe riodiques policing crime criminologie criminalite europe pe riodiques european journal of criminology violent crimes periodicals aggressiveness periodicals aggression periodicals aggression and violent behavior misdaad law overheidsbeleid policing a journal of policy and practice restorative justice restorative justice periodicals victims of crimes periodicals victims offenders
advanced crop and pasture science,agricultural systems agricultural ecology agriculture crop ecology productivity and management in agricultural systems arid regions agriculture climatic changes science life sciences botany innovations in dryland agriculture crops physiology crop yields electronic books local the physiology of crop yield
advanced financial accounting,accounting financial statements accounting australia textbooks issues in financial accounting accounting standards financial statements standards australian applying international financial reporting standards financial institutions money markets financial institutions markets accounting periodicals accounting standards australia periodicals accounting australia periodicals australian accounting review
advanced games design and programming,software engineering computer games computer games programming software engineering for game developers
advanced human resource perspectives,personnel management personnel management handbooks manuals etc personeelsmanagement a handbook of human resource management practice personnel management case studies personnel management personnel management australia case studies cases in hr practice and strategy personnel management australia career development australia work human resource management in australia strategy people performance
advanced legal research,proposal writing in the social sciences social sciences research methodology research design developing effective research proposals
advanced marine ecology,ecology periodicals ecology e cologie pe riodiques ecology
advanced mineral processing,ore dressing ore dressing ore processing introduction to mineral processing mines and mineral resources periodicals minerals metallurgie minerals engineering hyperfine interactions periodicals solid state physics periodicals nuclear physics periodicals hyperfine interactions ore dressing metallurgy mineral procesing mineral processing design and operations an introduction high temperature superconducting permanently magnetised discs and rings prospects for use in magnetic separation collectors depressants flotation monazite oleic acid zeta potentials in the flotation of oxide and silicate minerals ore dressing congresses mineral industries congresses metallurgy congresses ilmenite minerals recovery from beach sand tailings
advanced molecular biology modern concepts and applications,motion pictures evaluation periodicals television criticism television criticism periodicals new review of film and television studies video recordings periodicals video recordings motion pictures quarterly review of film and video media international australia 8 1 07 current television series 21st century history and criticism performing arts reference television programs history 21st century 21st century tv dramas exploring the new golden age motion pictures periodicals radio motion pictures film quarterly motion pictures periodicals theater periodicals motion picture industry variety reference writing skills narracja language arts disciplines composition creative writing complex tv the poetics of contemporary television storytelling internet television digital television streaming technology telecommunications tv outside the box trailblazing in the digital television revolution storytelling in mass media narration rhetoric convergence telecommunication storytelling in the media convergence age exploring screen narratives national endowment for the humanities humanities research grants periodicals national endowment for the humanities periodicals humanities television series periodicals television programs television series series international journal of tv serial narratives
advanced principles and practices in early childhood education,early childhood education philosophy reggio emilia approach early childhood education education preschool italy reggio emilia bringing the reggio approach to your early years practice science research psychology and mental health western australia the pushes and pulls of pedagogy in the early years competing knowledges and the erosion of play based learning education research education research lung neoplasms scandinavian journal of educational research psychology and mental health early childhood education analysis education the playing learning child towards a pedagogy of early childhood
"advanced professional counselling psychology clinical, research, and ethical issues",social group work teams in the workplace social groups inside group work a guide to reflective practice
advanced property law,property australia periodicals conveyancing australia periodicals torrens system australia periodicals australian property law journal law periodicals united states law united states law reports digests etc united states university of chicago law review
advanced psychological assessment,educational tests and measurements behavioral assessment case studies psychological tests interpretation case studies responsible test use case studies for assessing human behavior educational tests and measurements design and construction psychological tests design and construction employment tests design and construction a handbook of test construction introduction to psychometric design
advanced qualitative approaches to research,social sciences research methodology qualitative research qualitative methode theoretical frameworks in qualitative research social sciences methodology research design qualitative research qualitative inquiry research design choosing among five approaches qualitative research social sciences research qualitative research data processing the coding manual for qualitative researchers psychology research organization research organization research periodicals the qualitative report social sciences research methodology research methodology qualitative research reason rigor how conceptual frameworks guide research social sciences research education research qualitative daten qualitative data analysis a methods sourcebook social sciences methodology qualitative research thought and thinking thinking qualitatively methods of mind social sciences philosophy social sciences research methodology philosophy the foundations of social research meaning and perspective in the research process social sciences research methodology qualitative research research design designing qualitative research education research periodicals recherche en e ducation education research international journal of qualitative studies in education qualitative quality eight big tent criteria for excellent qualitative research
advanced quantitative research methods,social sciences statistical methods data processing computer programs social sciences research statistical methods computer programs spss computer file handbooks manuals etc spss statistics version 22 a practical guide multivariate analysis multivariate analysis analyse multivarie e using multivariate statistics
advanced research in the arts,biology periodicals physics periodicals science periodicals proceedings of the national academy of sciences art and science art and society qualitative research methodology method meets art arts based research practice oral communication study and teaching higher public speaking dissertations academic a students guide to presentations making your presentation count business presentations public speaking business economics business communication meetings presentations how to prepare stage and deliver winning presentations business presentations business communication business economics business communication meetings presentations advanced presentations by design creating communication that drives action foreign countries vocational education postsecondary education literature review writing how information is selected and transformed social sciences research methodology social sciences research social science basic research methods an entry to social science research business management and accounting all experimental evidence of massive scale emotional contagion through social networks social sciences research social sciences methodology social sciences methodology the basics of social research publishers and publishing research methodology study and teaching how to write a literature review peer review web based instruction evaluation computer assisted instruction evaluation self peer and group assessment in e learning interdisciplinarity a critical assessment criminal justice administration of study and teaching united states periodicals criminology study and teaching united states periodicals journal of criminal justice education research management periodicals research management business general business journal of research administration
advanced research in the arts (oua),social sciences research social sciences research methodology onderzoeksmethoden doing research in the real world project management business economics project management cost practical guide to project planning strategies for increasing the efficacy of collaborative grant writing groups in preparing federal proposals proposal writing in research proposal writing in research united states proposal writing for grants the nuts bolts of grant writing interdisciplinary research interdisciplinary cooperation research methodology interdisciplinary research process and theory libraries great britain periodicals library science periodicals special libraries periodicals aslib proceedings communication in organizations organizational change feedback psychology the power of feedback 35 principles for turning feedback from others into personal and professional change project management strategic planning organizational effectiveness project management for non project managers courtship italy messina messina italy drama five misunderstandings about case study research contextualising creative practice within human research ethics processes
advanced research methods,critical thinking reasoning critical thinking study and teaching critical thinking a concise guide education research methodology social sciences research methodology independent study doing your research project a guide for first time researchers in education health and social science historiography great britain historiography history modern study and teaching higher the pursuit of history aims methods and new directions in the study of modern history ethics social ethics ethics a companion to ethics social conditions united states united states social conditions 1980 periodicals social text sociology methodology sociology philosophy sociology fieldwork theory and methods in sociology an introduction to sociological thinking and practice socrates philosophy ancient philosophy ancient complete works literature modern 20th century history and criticism periodicals semiotics periodicals criticism textual periodicals textual practice
"advanced research seminar in tourism, hospitality and events",hospitality industry research tourism research hotels planning planning research in hospitality and tourism social sciences research social sciences methodology methodologie the practice of social research social sciences research methodology research methodology handbooks manuals etc methodology social sciences research a commonsense approach tourism research tourisme recherche manuels d enseignement supe rieur tourismusforschung tourism research hospitality industry research methodology tourism research methodology business economics small business researching hospitality and tourism a student guide heritage tourism research tourism research business economics industries hospitality travel tourism tourism research methods dissertations academic education higher the ses et e crits acade miques surviving your thesis
advanced secondary curriculum pedagogy i,international journal of critical pedagogy conservation of natural resources study and teaching australia periodicals environnement e tude et enseignement australie pe riodiques conservation of natural resources study and teaching australian journal of environmental education
advanced secondary curriculum pedagogy ii,education research australia periodicals education research australia educational researcher religion philosophy general children religious life periodicals youth religious life periodicals international journal of childrens spirituality
advanced studio practice i,prints 20th century europe gravure 20e sie cle prints american the contemporary print from pre pop to postmodern
advanced surgical techniques,veterinary medicine veterinary medicine periodicals veterinary medicine periodicals journal of small animal practice veterinary surgery periodicals veterinary medicine veterinary surgery veterinary surgery veterinary medicine periodicals medical veterinary medicine small animal veterinary medicine veterinary clinics of north america small animal practice
advanced theories of contemporary art,e flux art periodicals kunsttheorie kunstbeleid october
advanced topics in health informatics and bioinformatics,world health epidemiology periodicals world health periodicals journal of epidemiology and global health medical informatics medical informatics health fitness holism health informatics an interprofessional approach oncology periodicals cancer pe riodiques oncology acta oncologica medical informatics health services administration medical informatics organization administration leveraging big data to enhance the effectiveness of one health in an era of health informatics
advanced topics in small animal practice,veterinary ultrasonography dogs diseases diagnosis cats diseases diagnosis veterinary diagnostic ultrasound
advanced web communication project,law australia periodicals law society of western australia periodicals australia brief computers and office automation industries business singapores social media abuzz ahead of election web sites design web site development online authorship letting go of the words google analytics google adwords google website optimizer your google game plan for success increasing your web presence with google adwords analytics and website optimizer social sciences asia asia periodicals asian social science the perception of donors on existing regulations and code of governance in singapore on charities and non profit organizations a conceptual study public relations evaluation public relations planning public relations research evaluating public relations a guide to planning research and measurement roles ethics and social media information technology management web sites design internet marketing content strategy at work real world stories to strengthen every interactive project public relations internet in public relations social media public relations and the social web how to use social media and web 2 0 in communications
advanced web programming,internet programming perl computer program language engineering applied sciences network programming with perl world wide web internet programming internet programming software internet world wide web how to program xml document markup language world wide web an introduction to xml and web technologies
advertising management and campaigns,communication in marketing marketing technological innovations sales marketing australia principles of integrated marketing communications
advocacy and change,social work administration social case work management case management case management for community practice
aesthetics of food and wine,gastronomy culture food gastronomica sens et sensations cognition and culture sense organs history empire of the senses the sensual culture reader art criticism periodicals aesthetics periodicals arts periodicals the journal of aesthetics and art criticism food industry and trade quality control periodicals food preferences periodicals food quality periodicals food quality and preference
"agricultural markets, economics and policy",misthinking globalisation twentieth century paradigms and twenty first century challenges australia economic conditions periodicals economic history periodicals economic history australian economic history review
agroforestry and farm forestry,agrobiodiversity tropics agroforestry environmental aspects tropics agrobiodiversity conservation tropics agroforestry and biodiversity conservation in tropical landscapes agroforestry tropics tropical agroforestry agroforestry periodicals agrosilvicultura publicaciones perio dicas agroforestry agroforestry systems
algorithms and data structures,computer programming computer algorithms computer algorithms introduction to algorithms
allied health honours seminar i,physical therapy therapeutics physical therapy periodicals international journal of therapy and rehabilitation
allied health honours seminar ii,social sciences methodology handbooks manuals etc social sciences research research methodology the good research guide for small scale social research projects participant observation handbooks manuals etc action research action research handbooks manuals etc handbook of action research participative inquiry and practice social sciences research social sciences methodology qualitative research qualitative research issues of theory method and practice qualitative research social sciences research qualitative research qualitative data analysis an introduction physical therapy research methodology physical therapy research methodology therapy research processes and practicalities evaluation research social action programs united states educational accountability united states united states evaluation in action interviews with expert evaluators needs assessment social surveys social science essays needs assessment a creative and practical guide for social scientists research evaluation social sciences research social science research practical research and evaluation a start to finish guide for practitioners education research methodology handbooks manuals etc research methodology social science research a students guide to methodology justifying enquiry evaluation research social action programs evaluation e valuation de programme realistic evaluation research study and teaching academic writing research methodology efficient and effective research a toolkit for research students and developing researchers social medicine research methodology social sciences research methodology primary care medicine research methodology doing qualitative research
allied health honours thesis i,education research great britain education research great britain research methods in education social service evaluation evaluation research social action programs reference research evaluation in the face of uncertainty anticipating surprise and responding to the inevitable social sciences research sociology research social surveys do it yourself social research evaluation research social action programs social science research social science methodology practical program evaluation assessing and improving planning implementation and effectiveness grounded theory social sciences statistical methods social sciences research basics of qualitative research techniques and procedures for developing grounded theory medical care evaluation public health evaluation outcome assessment medical care evaluation fundamentals insights into the outcomes effectiveness and quality of health programs physical therapy disability evaluation occupational therapy principles of assessment and outcome measurement for occupational therapists and physiotherapists theory skills and application research methodology research methods review literature as topic systematic approaches to a successful literature review sociology research methodology social sciences research methodology qualitative research social research methods qualitative and quantitative approaches research evaluation social sciences research methodology social sciences methods designing and conducting mixed methods research interview research methodology versuchsplanung doing a successful research project using qualitative or quantitative methods project management medical care social service managing projects in health and social care qualitative research qualitative research methodology qualitative sozialforschung the sage qualitative research kit evaluation research social action programs evaluation research postsecondary education evaluation essentials from a to z focus groups social sciences research methodology qualitative research focus groups as qualitative research evaluation research social action programs social science research soziologie evaluation research an introduction to principles methods and practice social service research great britain methodology medical care research great britain methodology report writing doing a literature review in health and social care a practical guide
alternative and mainstream communities,sociology rural sociology rural periodicals sociology periodicals rural sociology sociology australia ethnic relations australia social conditions social self global culture an introduction to sociological ideas religion history periodicals church history periodicals australia church history periodicals journal of religious history finance australia databases securities australia databases australia economic conditions databases australian financial review utopias congresses utopias in literature congresses utopias periodicals utopian studies history periodicals history histoire sociale past present sociology rural peasants peasants peasants and peasant societies selected readings peasants campesinato boeren peasants political science periodicals great britain politics and government periodicals great britain politics and government 1910 1936 periodicals the political quarterly community development australia social work with immigrants australia social service australia community work or social change an australian perspective sociology periodicals sociology sociologie the british journal of sociology slavery america slavery united states united states slavery in american society cities and towns australia social aspects rural development australia social aspects rural development australia economic aspects the future of australias country towns community organization united states social action united states community power united states community organizing and development
analysing policy problems,political science politics and government political science periodicals australian journal of political science australia social policy periodicals australia social policy journal of economic and social policy social policy cross cultural studies social policy evaluation social policy analysing social policy a governmental approach
animal behaviour and welfare,domestic animals behavior animal behavior animals domestic domestic animal behavior for veterinarians and animal scientists animal welfare domestic animals behavior animals treatment farm animal behaviour and welfare animal experimentation ethics animal husbandry australia conservation of wildlife animal welfare animal welfare animal industry moral and ethical aspects livestock social aspects animal welfare limping towards eden a practical approach to redressing the problem of our dominion over the animals livestock animal welfare be tail the future of animal farming renewing the ancient contract animal welfare animal experimentation moral and ethical aspects tierethik ethics of animal use animal behavior behavior animal animals behaviour an introduction to animal behaviour cats behavior pet medicine dogs behaviour problems in small animals practical advice for the veterinary team dogs animal welfare dogs as laboratory animals the welfare of dogs
animal nutrition and toxicology,beef cattle cattle care and health beef industry australia beef agskills a practical guide to farm skills goats goats care and health goats handbooks manuals etc goat agskills a practical guide to farm skills
animal production systems ii,meat industry and trade australia beef cattle australia beef industry australia beef cattle production and trade
"animal speciation, radiation, evolution",ecology ecology conservation of natural resources global ecology and conservation
anthropology and its others,science periodicals social sciences periodicals humanities periodicals daedalus anthropology ethnology culture cultural anthropology a contemporary perspective anthropology kulturanthropologie anthropologie anthropology culture ethnology ethnology the interpretation of cultures selected essays by clifford geertz paternalism moral and ethical aspects surrogate mothers moral and ethical aspects philosophy analysis perilous ideas race culture people [and comments and reply] time anthropology philosophy history social history time and the other how anthropology makes its object ethnology ethnology textbooks anthropology cultural anthropology a problem based approach communism and anthropology periodicals culturele antropologie anthropology serials critique of anthropology identity psychology critical theory culture questions of cultural identity kulturanthropologie australia culturele antropologie handbook of social and cultural anthropology brazil description and travel indians of south america brazil indians of south america brazil social life and customs tristes tropiques ethnology history culture ethnology the rise of anthropological theory a history of theories of culture financial times rites and ceremonies ndembu african people rites and ceremonies social structure the ritual process structure and anti structure violence in literature violence in mass media violence moral and ethical aspects violent depictions representing violence across cultures 20 05 art in relation with other areas of culture general arts 20e sie cle psychologische aspecten gone primitive savage intellects modern lives marx karl 1818 1883 capitalism weber max 1864 1920 capitalism and modern social theory an analysis of the writings of marx durkheim and max weber culture aufsatzsammlung kultur creating culture profiles in the study of culture mondialisation globalization anthropology the anthropology of globalization a reader last stand of the kalaharis hunter gatherers the botswana government is forcing nomadic bushmen off their ancestral lands and into permanent settlements writes james lamont [london edition] kapauku new guinea people kapauku new guinean people kapauku volk the kapauku papuans of west new guinea deep play notes on the balinese cockfight social ecology outlines syllabi etc human ecology outlines syllabi etc cram101 textbook outlines to accompany an introduction to cultural ecology mark q sutton e n anderson 1st edition encyclopedias and dictionaries philosophy modern dictionaries philosophy the new fontana dictionary of modern thought capital economics socialism capital volume i der produktionsprozess des kapitals anthropology introducing anthropology
"anthropology, society and culture",post humanism social sciences social sciences other topics a materialist interpretation of culture human ecology cross cultural studies anthropology human ecology environmental anthropology a historical reader primitive societies social structure kinship structure and function in primitive society essays and addresses human geography kulturella aspekter ge ographie sociale routes travel and translation in the late twentieth century anthropology periodicals anthropology anthropology periodicals current anthropology science life sciences biology wood anatomy wood anatomy congresses structuralism and ecology ethnology fieldwork ethnology research ethnologists attitudes ethnography through thick and thin barter trobriand islands papua new guinea folklore new guinea argonauts of the western pacific an account of native enterprise and adventure in the archipelagoes of melanesian new guinea historiography history methodology historiography clues myths and the historical method imperialism asia study and teaching middle east study and teaching orientalism global environmental change environmental policy globalization economic aspects paths to a green world the political economy of the global environment research methodology and techniques sciences sociales recherche australie discours essais confe rences land rights claims disputes hearings inside the whale ten personal accounts of social research ethnology anthropology ethnology cultural anthropology a perspective on the human condition study skills study skills problems exercises etc college student orientation handbooks manuals etc a learning companion your guide to practising independent learning male friendship fiction recluses fiction washington state fiction the other ethnology fieldwork panare indians dumont jean paul 1940 the headman and i ambiguity and ambivalence in the fieldworking experience anthropology fieldwork anthropology methodology literature and anthropology modernist anthropology from field work to text marxist anthropology dialectical materialism marxisme perspectives in marxist anthropology tasmania ponl geneva amnesty international indigenous rights update no 3 ethnology methodology congresses ethnology authorship congresses ethnology authorship writing culture the poetics and politics of ethnography a school of american research advanced seminar human ecology ecofeminism economic development social aspects ecofeminism social networks models social support models social sciences an exchange between durkheim and tonnies on the nature of social relations social history periodicals technology and civilization periodicals social sciences periodicals social science information despotism europe history despotism case studies lineages of the absolutist state coral reefs and islands southeast asia khoa ho c t nhie n endangered ecosystems reefs at risk in southeast asia history periodicals social sciences periodicals social sciences comparative studies in society and history sociology periodicals ethnology periodicals social sciences periodicals social analysis anthropology methodology applied anthropology methodology anthropology philosophy world anthropologies disciplinary transformations within systems of power socialism communism marxian economics karl marx and frederick engels selected works chance necessity and mode of production a marxist critique of cultural evolutionism communism althusser louis 1918 1990 political and social views althusser and marxist theory kwakiutl indians zuni indians dobu island papua new guinea patterns of culture ethnology ethnology miscellanea witchcraft cows pigs wars and witches the riddles of culture social change symbolic anthropology social structure consciousness and change symbolic anthropology in evolutionary perspective ethnology manners and customs sociale antropologie an introduction to social anthropology other peoples worlds social order deleuze gilles primitive society primitivism in deleuze and guattaris a thousand plateaus ethnology primitive societies sociology structure and function in primitive society chambri papua new guinean people social conditions chambri papua new guinean people ethnic identity chambri papua new guinean people economic conditions twisted histories altered contexts representing the chambri in a world system evaluation housing incl mobile homes dwellings social aspects central australia on centre stage aboriginal peoples right to traditional homelands in the northern territory
