COURSENAME,COMBINED_TITLE,RESOURCE_TYPE,SUBJECTS
sustainable urban communities,3 2 girardet 2000,article,paintings migrants buvelot louis appreciation 3 2 girardet 2000
great books past and present 2,3 post colonialism post modernism and the rehabilitation of post colonial history,article,1208 literature and literary theory literature and literary theory 3 post colonialism post modernism and the rehabilitation of post colonial history
strategic research in international markets,3 ways data dashboards can mislead you,article,performance management transport planning public transport 3 ways data dashboards can mislead you
manager as a performance coach,360 degree assessment time for reinvention,article,remoteness human capacity indigenous 360 degree assessment time for reinvention
digital forensics,39th audio engineering society international conference 2010 audio forensics practices and challenges,book,emergency management task technology fit rfid 39th audio engineering society international conference 2010 audio forensics practices and challenges
organisational behaviour and management,4 ways to communicate effectively,article,computer simulation usage fractions study and teaching usage 4 ways to communicate effectively
leadership in health care,40 years of storming a historical review of tuckmans model of small group development,article,40 years of storming a historical review of tuckmans model of small group development
advanced crop and pasture science,4r plant nutrition a manual for improving the management of plant nutrition,book,soil fertility handbooks manuals etc fertilizers handbooks manuals etc plants nutrition handbooks manuals etc 4r plant nutrition a manual for improving the management of plant nutrition
sustainable urban communities,5 3 barley 2010,article,genetic engineering law and legislation australia periodicals tasmania australia gene technology act 2000 5 3 barley 2010
leadership in social work and human services,50 current and emerging women leaders in asia pacific,article,yahoo inc general interest info services ex database 50 current and emerging women leaders in asia pacific
influencing on the inside,52 hacks for innovation oriented organizations,book,design rhetoric innovation 52 hacks for innovation oriented organizations
sustainable urban communities,7 1 pucher and buehler 2010,article,esthetics humans middle aged 7 1 pucher and buehler 2010
strategic management,7 3,journal,7 3
creating and managing effective learning environments,7 steps for developing a proactive schoolwide discipline plan a guide for principals and leadership teams,book,school discipline united states school improvement programs united states school discipline 7 steps for developing a proactive schoolwide discipline plan a guide for principals and leadership teams
sustainable urban communities,8 1 victoria department of environment land water and planning 2018,article,planning victoria community development victoria land use victoria planning 8 1 victoria department of environment land water and planning 2018
developing strategic intelligence,8 tough questions to ask about your companys strategy,article,company business management management dynamics computers 8 tough questions to ask about your companys strategy
aboriginal and torres strait islander perspectives across the curriculum,8 ways aboriginal pedagogy from western nsw raet regional aboriginal education team western nsw dec version details trove,book,8 ways aboriginal pedagogy from western nsw raet regional aboriginal education team western nsw dec version details trove
wireless and interactive networks,802 11 wireless lan fundamentals,book,802 11 wireless lan fundamentals
wireless and interactive networks,802 11 wireless network site surveying and installation,book,wireless lans security measures examinations study guides wireless lans examinations study guides telecommunications engineers certification 802 11 wireless network site surveying and installation
wireless and interactive networks,802 11 wireless networks the definitive guide,book,local area networks computer networks wireless lans wireless communication systems 802 11 wireless networks the definitive guide
terrorism in a globalised world,9 11 effect comparative counter terrorism,book,terrorism canada prevention september 11 terrorist attacks 2001 terrorism united states prevention 9 11 effect comparative counter terrorism
spies saboteurs and secret agents,9 11 the failure of strategic intelligence,article,queer literature judith butler michel foucault 9 11 the failure of strategic intelligence
health policy and governance,9 the changing role of the state in healthcare systems,article,overdiagnosis modern education 9 the changing role of the state in healthcare systems
environmental technology for sustainability,9th world renewable energy congress 19 25 august florence italy,book,rougier louis 1889 1982 open access rougier louis auguste paul 1889 9th world renewable energy congress 19 25 august florence italy
professional practice and organisational consulting,a 30 country multilevel test of cultural convergence or divergence of three managerial skillsets,article,checked by library a 30 country multilevel test of cultural convergence or divergence of three managerial skillsets
complexities of health and illness across the lifespan 1,a balancing act maintaining accurate fluid balance charting,article,nursing practice body fluids analysis outcome assessment medical care a balancing act maintaining accurate fluid balance charting
managing wetlands and water,a baseline biological monitoring programme for the urban wetlands of the swan coastal plain western australia seasonal variation in the macroinvertebrate,book,wetland animals western australia swan coastal plain environmental monitoring western australia perth metropolitan area water quality western australia perth metropolitan area a baseline biological monitoring programme for the urban wetlands of the swan coastal plain western australia seasonal variation in the macroinvertebrate
introduction to science for health professions,a beginners guide to evidence based practice in health and social care professions,book,evidence based medicine evidence based social work great britain evidence based medicine great britain a beginners guide to evidence based practice in health and social care professions
integrated project,a beginners guide to scientific method,book,science methodology research methodology science methodology a beginners guide to scientific method
environmental monitoring,a benchmarking method for visitor management by national park agencies,article,a benchmarking method for visitor management by national park agencies
written communication,a better pencil readers writers and the digital revolution,book,written communication technological innovations language arts disciplines literacy writing materials and instruments history a better pencil readers writers and the digital revolution
operating systems and systems programming,a book on c programming in c,book,c computer program language c programmeertaal c langage de programmation a book on c programming in c
academic skills for science students,a boring test,article,soil profiles pressure measurement shear strength of soils testing a boring test
researching legal remedies,a brief guide to brief writing demystifying the memorandum of law,book,reference writing skills united states legal briefs a brief guide to brief writing demystifying the memorandum of law
macroeconomics b,a brief history of economics artful approaches to the dismal science,book,economics history economists history business economics economic history a brief history of economics artful approaches to the dismal science
international political economy,a brief history of neoliberalism,book,neoliberalism liberty economic policy a brief history of neoliberalism
it professional practice,a brief review of peter b checkland s contribution to systemic thinking,article,business innovation and technology management circular economy a brief review of peter b checkland s contribution to systemic thinking
cognitive processes,a brief tour of human consciousness from impostor poodles to purple numbers,book,consciousness brain cognitive neuroscience a brief tour of human consciousness from impostor poodles to purple numbers
advanced criminal law,a brighter tomorrow raise the age of criminal responsibility,article,convention on the rights of the child australia youth aboriginal australian a brighter tomorrow raise the age of criminal responsibility
society culture and ecology in asia,a burning problem,article,lidcombe waste treatment plant poisons pollution a burning problem
detection and diagnostics,a case study of forest decline in western canada and the adjacent united states,article,economic history economic policy regional planning a case study of forest decline in western canada and the adjacent united states
christology,a celtic christology the incarnation according to john scottus eriugena,book,erigena johannes scotus approximately 810 approximately 877 incarnation history of doctrines middle ages 600 1500 jesus christ history of doctrines a celtic christology the incarnation according to john scottus eriugena
introduction to the early childhood education field,a centenary history 1908 2008,book,free kindergarten union victoria history free kindergarten union of victoria history multicultural education victoria a centenary history 1908 2008
spies saboteurs and secret agents,a century of spies intelligence in the twentieth century,book,espionage history 20th century world politics 20th century intelligence service history 20th century a century of spies intelligence in the twentieth century
learning from country,a change in the weather,book,readers primary weather supermarkets fiction a change in the weather
indigenous knowledge,a change in the weather climate and culture in australia,book,human beings effect of climate on australia australians attitudes aboriginal australians attitudes a change in the weather climate and culture in australia
advanced criminal law,a change of normative position determining the contours of culpability in criminal law,article,law causation criminal law laws regulations and rules laws regulations and rules a change of normative position determining the contours of culpability in criminal law
contemporary fiction writing,a change of world,book,a change of world
counselling children and adolescents,a child 3 5 years growth and development as a social being learning through play safety,book,children toddlers a child 3 5 years growth and development as a social being learning through play safety
art therapy with children and adolescents,a childs use of transitional objects in art therapy to cope with divorce,article,music a childs use of transitional objects in art therapy to cope with divorce
introduction to film studies,a cinema without walls movies and culture after vietnam,book,popular culture united states history 20th century motion pictures social aspects popular culture united states a cinema without walls movies and culture after vietnam
conservation medicine,a clash of paradigms community and research based conservation,book,conservation of natural resources research australia wildlife conservation australia citizen participation congresses conservation of natural resources australia a clash of paradigms community and research based conservation
australian indigenous education,a clash of worldviews experiences from teaching aboriginal students,article,psychology and mental health early childhood education curricula multicultural education a clash of worldviews experiences from teaching aboriginal students
psychiatry psychology and the law,a clinical introduction to lacanian psychoanalysis,book,psychoanalysis lacan jacques 1901 lacan jacques 1901 1981 a clinical introduction to lacanian psychoanalysis
the developing mind,a cognitive cost of the need to achieve,article,cbt cost effectiveness naltrexone a cognitive cost of the need to achieve
aquatic biosecurity,a colour atlas of salmonid diseases,book,salmonidae diseases salmonidae parasites animal anatomy morphology histology a colour atlas of salmonid diseases
coming into community,a common prayer,book,prayers prayer caricatures and cartoons australia a common prayer
teaching religion in schools,a common search the history and forms of religious education in catholic schools,book,catholic schools australia catholic church education australia christian education of children australia a common search the history and forms of religious education in catholic schools
aesthetics of food and wine,a companion to aesthetics,book,aesthetics encyclopedias aesthetics a sthetik a companion to aesthetics
contemporary debates in visual culture,a companion to contemporary art since 1945,book,art modern 20th century history art modern 21st century history art modern a companion to contemporary art since 1945
metaphors of mind,a companion to descartes,book,descartes rene 1596 1650 descartes rene descartes rene 1596 1650 a companion to descartes
biotechnology justice and the law,a companion to genethics,book,genetics moral and ethical aspects bioethics gene therapy moral and ethical aspects a companion to genethics
metaphors of mind,a companion to kant,book,kant immanuel 1724 1804 kant immanuel filosofia moderna alemanha a companion to kant
international aid and development in practice,a companion to medical anthropology anthropology anthropology,book,medical anthropology anthropology physical social medicine a companion to medical anthropology anthropology anthropology
advanced molecular biology modern concepts and applications,a companion to nordic cinema,book,motion pictures scandinavia history and criticism performing arts reference motion pictures scandinavia history a companion to nordic cinema
space place and travel,a companion to political geography edited by john agnew katharyne mitchell and gerard toal,book,political geography politieke geografie geografia politica a companion to political geography edited by john agnew katharyne mitchell and gerard toal
borderlands identity culture and belonging,a companion to postcolonial studies,book,postcolonialism political science colonialism post colonialism political science a companion to postcolonial studies
advanced molecular biology modern concepts and applications,a companion to reality television,book,reality television programs history and criticism performing arts television history criticism reality television programs a companion to reality television
short story writing,a companion to the american short story,book,short stories american history and criticism short stories american kurzgeschichte a companion to the american short story
nature based tourism,a comparative analysis of protected area planning and management frameworks,article,australian sports drug agency periodicals norway u at ne a comparative analysis of protected area planning and management frameworks
festivals and events,a comparative study of caucasian and asian visitors to a cultural expo in an asian setting,article,checked by library a comparative study of caucasian and asian visitors to a cultural expo in an asian setting
comparative governance and public administration,a comparative study of zambia and mozambique africanization professionalization and bureaucracy in the african postcolonial state,article,checked by library a comparative study of zambia and mozambique africanization professionalization and bureaucracy in the african postcolonial state
wildlife biology,a comparision of species counts and density estimates derived from area searches line transects and point counts in the jarrah forest of south western australia,article,a comparision of species counts and density estimates derived from area searches line transects and point counts in the jarrah forest of south western australia
music drama and writing,a comparison between the use of songs and improvisation in music therapy with adults living with acquired and chronic illness,article,humans middle aged adult a comparison between the use of songs and improvisation in music therapy with adults living with acquired and chronic illness
introduction to the old testament,a comparison of j and p unpublished,book,wilson s promontory vic antiquities wilsons promontory e vic gippsland sj55 10 wilsons promontory vic antiquities a comparison of j and p unpublished
oceanography and marine pollution,a comparison of nutrient limited productivity in macroalgae from a caribbean barrier reef and from a mangrove ecosystem,article,northeast queensland ponn melbourne a comparison of nutrient limited productivity in macroalgae from a caribbean barrier reef and from a mangrove ecosystem
introduction to sustainable development oua,a comparison of the limits to growth with 30 years of reality,article,ethnicity cross cultural studies relationship marketing a comparison of the limits to growth with 30 years of reality
ecology,a comparison of towed nets purse seine and light aggregation devices for sampling larvae and pelagic juveniles of coral reef fishes,article,a pp australian institute of marine science periodicals papua new guinea a comparison of towed nets purse seine and light aggregation devices for sampling larvae and pelagic juveniles of coral reef fishes
theory and method,a compendium of neuropsychological tests administration norms and commentary,book,neuropsychological tests handbooks manuals etc reference values tests neuropsychologiques guides manuels etc a compendium of neuropsychological tests administration norms and commentary
principles and processes of interventions,a component analysis of cognitive behavioral treatment for depression,article,neuropsychology handbooks manuals etc behavior physiology mental processes physiology a component analysis of cognitive behavioral treatment for depression
news and power,a comprehensive grammar of the english language,book,english language grammar english language grammar 1950 englisch a comprehensive grammar of the english language
environmental policy and law,a conceptual analysis of the application of tradable permits to biodiversity conservation,article,right of property laws regulations and rules law australia overseas comparisons a conceptual analysis of the application of tradable permits to biodiversity conservation
ecological applications,a conceptual model of land conversion processes predictions and evidence from a microlandscape experiment with grassland insects,journal,a conceptual model of land conversion processes predictions and evidence from a microlandscape experiment with grassland insects
managing strategic risk and projects,a conceptualisation of relationship quality in construction procurement,article,customer services relationship marketing customer relations a conceptualisation of relationship quality in construction procurement
religion politics and society in sixteenth century england,a concise history of christianity,book,church history history religious aspects christianity history religious aspects christianity a concise history of christianity
imperialism and colonialism in modern history,a concise history of india,book,india history india inde histoire a concise history of india
mixed methods and quantitative research,a concise introduction to mixed methods research,book,social sciences research methodology research methodology mixed methods research a concise introduction to mixed methods research
economics in society,a conservative case for the minimum wage,article,a conservative case for the minimum wage
magic science and spirituality,a consuming tradition kava drinking in fiji,article,drugs side effects kava beverage therapeutic use skin diseases a consuming tradition kava drinking in fiji
managing strategic risk and projects,a contextual understanding of projects the importance of space and time,article,foreign countries competence text structure a contextual understanding of projects the importance of space and time
transforming the real,a contribution to the critique of political economy,book,economics marxian economics economics a contribution to the critique of political economy
australian literature and film,a conversation with illustrator shaun tan,article,science research educational aspects education a conversation with illustrator shaun tan
criminal law b,a cr r australian criminal reports,journal,criminal law australia cases periodicals criminal law australia cases criminal procedure australia cases a cr r australian criminal reports
introduction to the old testament,a critical and exegetical commentary on the books of chronicles,book,bible o t chronicles commentaries bible chronicles commentaries bible chronicles a critical and exegetical commentary on the books of chronicles
trauma counselling,a critical evaluation of the complex ptsd literature implications for dsm 5,article,law laws regulations and rules legal issues crime a critical evaluation of the complex ptsd literature implications for dsm 5
innovation creativity and enterprise in design and technology,a critical examination of food technology innovation and teacher education a technacy genre theory perspective,book,innovation educational methods technology and innovation a critical examination of food technology innovation and teacher education a technacy genre theory perspective
religion and popular culture,a critical introduction to the study of religion,book,religion study and teaching religion study and teaching a critical introduction to the study of religion
work and well being,a critical review of executive coaching research a decade of progress and whats to come,article,prevention nutrition health aspects usage a critical review of executive coaching research a decade of progress and whats to come
environmental monitoring,a critique of ecosystem health concepts and indexes,article,macroinvertebrate rivpacs predictive model a critique of ecosystem health concepts and indexes
democracy in doubt,a critique of the elitist theory of democracy,article,deliberative democracy politics and government democracy a critique of the elitist theory of democracy
the developing mind,a critique of the iq achievement discrepancy model for identifying specific learning disabilities,article,renewable energy sources tax incentives solar technology taxation a critique of the iq achievement discrepancy model for identifying specific learning disabilities
textiles and society,a cultural history of fashion in the twentieth century from the catwalk to the sidewalk,book,fashion designers history 20th century fashion design history 20th century fashion history 20th century a cultural history of fashion in the twentieth century from the catwalk to the sidewalk
modern japan,a cultural history of postwar japan 1945 1980,book,japan social life and customs 1945 popular culture japan japan civilization american influences a cultural history of postwar japan 1945 1980
alternative and mainstream communities,a cup of tears a diary of the warsaw ghetto,book,lewin abraham 1893 1943 warsaw poland ethnic relations holocaust jewish 1939 1945 poland warsaw personal narratives a cup of tears a diary of the warsaw ghetto
travel and tourism in society,a dark tourism spectrum towards a typology of death and macabre related tourist sites attractions and exhibitions,article,a dark tourism spectrum towards a typology of death and macabre related tourist sites attractions and exhibitions
writing as a profession,a decent proposal how to sell your book to an australian publisher or literary agent,book,authors and publishers australia authorship marketing australia a decent proposal how to sell your book to an australian publisher or literary agent
sex and gender matters,a democracy of sexuality linkages and strategies for sexual rights participation and development,book,sex gender identity social aspects human rights a democracy of sexuality linkages and strategies for sexual rights participation and development
methods for complex inquiry,a designers research manual succeed in design by knowing your clients and what they really need,book,commercial art united states marketing graphic arts united states marketing united states a designers research manual succeed in design by knowing your clients and what they really need
dynamics of cultural diversity in the workplace and the community,a developmental progression model for intercultural consciousness a leadership imperative,article,renewable energy sources tax incentives solar technology taxation a developmental progression model for intercultural consciousness a leadership imperative
introduction to media studies,a dictionary of communication and media studies edited by james watson and anne hill,book,mass media dictionaries communication dictionaries mass media a dictionary of communication and media studies edited by james watson and anne hill
authorship and writing,a dictionary of critical theory,book,critical theory dictionaries critical theory literatuurtheorie a dictionary of critical theory
professional writing and editing,a dictionary of modern english usage,book,english language usage dictionaries english language dictionaries english language a dictionary of modern english usage
introduction to sociology oua,a dictionary of sociology,book,sociology dictionaries sociology sociologie a dictionary of sociology
indigenous peoples law and society,a different kind of subject colonial law in aboriginal european relations in nineteenth century western australia 1829 61,book,midgegooroo died 1833 law enforcement land rights a different kind of subject colonial law in aboriginal european relations in nineteenth century western australia 1829 61
conservation medicine,a different nature the paradoxical world of zoos and their uncertain future,book,nature science mathematics zoos a different nature the paradoxical world of zoos and their uncertain future
spies saboteurs and secret agents,a diplomatics analysis of a document purported to prove prior knowledge of the attack on pearl harbor,article,renewable energy sources tax incentives solar technology taxation a diplomatics analysis of a document purported to prove prior knowledge of the attack on pearl harbor
metaphors of mind,a discourse on the method of correctly conducting ones reason and seeking truth in the sciences,book,science methodology methodology first philosophy a discourse on the method of correctly conducting ones reason and seeking truth in the sciences
art therapy with children and adolescents,a dramatherapy case study with a young man who has dual diagnosis of intellectual disability and mental health problems,article,a dramatherapy case study with a young man who has dual diagnosis of intellectual disability and mental health problems
knowledge management,a dynamic theory of organizational knowledge creation,article,knowledge management organisational learning dynamic feedback system a dynamic theory of organizational knowledge creation
sustainable tourism,a european sustainable tourism labels proposal using a composite indicator,article,oceania law strategic aspects a european sustainable tourism labels proposal using a composite indicator
soil processes,a factual key for the recognition of australian soils,book,soils australia identification soils identification soils classification a factual key for the recognition of australian soils
advanced professional counselling psychology clinical research and ethical issues,a family in therapy,book,family mental health family social work australia family psychotherapy australia a family in therapy
forensic anatomy and anthropology,a fatal leopard attack,article,general interest news opinion and commentary a fatal leopard attack
parliamentary democracy,a federal republic australias constitutional system of government,book,republicanism australia federal government australia australia politics and government a federal republic australias constitutional system of government
paul,a feminist companion to matthew,book,bible matthew feminist criticism bible matthew criticism interpretation etc bible and feminism a feminist companion to matthew
old testament exegesis,a feminist companion to wisdom literature,book,christianity scriptures wisdom literature feminist criticism wijsheidsliteratuur a feminist companion to wisdom literature
conservation biology,a field guide to australian birds passerines,book,birds australia identification passeriformes ornithology australia a field guide to australian birds passerines
australian biodiversity,a field guide to the mammals of australia,book,mammals australia identification mammals australia a field guide to the mammals of australia
future learning design 2018,a flexible framework for online collaborative learning,article,other education 339999 a flexible framework for online collaborative learning
ecology,a floristic survey of the southern swan coastal plain,book,swan coastal plain w a western australia plant communities a floristic survey of the southern swan coastal plain
leadership,a force for change how leadership differs from management,book,industrial management leadership leadership a force for change how leadership differs from management
analysing policy problems,a foucault primer discourse power and the subject alec mchoul and wendy grace,book,foucault michel 1926 1984 foucault michel philosophy french 20th century a foucault primer discourse power and the subject alec mchoul and wendy grace
mediation and dispute resolution,a framework for adr standards report to the commonwealth attorney general,book,dispute resolution law justice administration of australia dispute resolution law australia a framework for adr standards report to the commonwealth attorney general
environmental policy and law,a framework for comparing collaborative management of australian and new zealand water resources,article,a framework for comparing collaborative management of australian and new zealand water resources
environmental policy for the 21st century,a framework for evaluating environmental policy instruments context and key concepts,article,feeding strategies genetic resources sustainable intensification a framework for evaluating environmental policy instruments context and key concepts
supply chain management and logistics,a framework for supply chains logistics operations in the asia pacific region,book,business logistics pacific area business logistics pacific area textbooks a framework for supply chains logistics operations in the asia pacific region
festivals and events,a framework for the development of event public policy facilitating regional development,article,3313 transportation tourism management local government a framework for the development of event public policy facilitating regional development
principles of environmental impact assessment,a framework for understanding and improving environmental decision making,article,bounded rationality bounded rationality uncertainty a framework for understanding and improving environmental decision making
work and well being,a framework for understanding the development of organisational safety culture,article,new zealand organizational culture risk management organization administration a framework for understanding the development of organisational safety culture
sustainable tourism,a framework of approaches to sustainable tourism,article,ecotourism congresses tourism environmental aspects congresses tourism environmental aspects a framework of approaches to sustainable tourism
communication skills for undergraduate study,a framework to assess the impacts of corruption on forests and prioritize responses,article,a framework to assess the impacts of corruption on forests and prioritize responses
principles of wildlife comparative pathology,a fresh look at metabolic bone diseases in reptiles and amphibians,article,a fresh look at metabolic bone diseases in reptiles and amphibians
alternative and mainstream communities,a future for regional australia escaping global misfortune,book,australia economic conditions australie conditions e conomiques australie conditions rurales a future for regional australia escaping global misfortune
festivals and events,a futurists thoughts on consumer trends shaping future festivals and events 1,article,computer science miscellaneous computer science applications education a futurists thoughts on consumer trends shaping future festivals and events 1
indigeneity critical theory and social justice,a genealogy of queer theory,book,queer theory gays identity lesbianism philosophy a genealogy of queer theory
dynamics of cultural diversity in the workplace and the community,a general theory of community building in its application in a multi ethnic setting the kosovo case,article,renewable energy sources tax incentives solar technology taxation a general theory of community building in its application in a multi ethnic setting the kosovo case
rethinking strategic value of markets and consumers,a general theory of marketing ethics,article,probability of consequences school of hospitality tourism and marketing marketing 1505 a general theory of marketing ethics
cyborg virus algorithm concepts for media practice,a geology of media,book,philosophy general psychology social psychology mass media and culture a geology of media
advanced molecular biology modern concepts and applications,a giant gutter in outer space on the schopenhauerian themes of hbo s hit series true detective,article,a giant gutter in outer space on the schopenhauerian themes of hbo s hit series true detective
gis for environmental management and planning,a gis based multi criteria decision making approach to forest conservation planning at a landscape scale a case study in the kinabalu area sabah malaysia,article,a gis based multi criteria decision making approach to forest conservation planning at a landscape scale a case study in the kinabalu area sabah malaysia
principles of wildlife health,a global veterinary medical perspective on the concept of one health focus on livestock,article,company business management management dynamics electronic equipment and supplies usage a global veterinary medical perspective on the concept of one health focus on livestock
environmental policy and law,a greener alternative deliberative democracy meets local government,article,studies in human society policy and administration public policy a greener alternative deliberative democracy meets local government
one health for biodiversity conservation,a guide for ecologists detecting the role of disease in faunal declines and managing population recovery,article,agricultural and veterinary sciences biological sciences 1105 ecology evolution behavior and systematics a guide for ecologists detecting the role of disease in faunal declines and managing population recovery
science in the primary curriculum,a guide to conducting an investigation and a completed investigation planner,book,refugees public health and health services not elsewhere classified a guide to conducting an investigation and a completed investigation planner
counselling adults,a guide to crisis intervention,book,crisis intervention mental health services crisis intervention methods psychology a guide to crisis intervention
managing wetlands and water,a guide to emergent wetland plants of south western australia,book,wetland ecology western australia vegetation western australia a guide to emergent wetland plants of south western australia
managing wetlands and water,a guide to identifying wetland management objectives in the perth metropolitan area,book,petrochemical industries company wetland conservation western australia perth region petroleum chemicals industry environmental aspects western australia kwinana a guide to identifying wetland management objectives in the perth metropolitan area
professional learning project,a guide to practitioner research in education,book,education research great britain action research in education great britain education research a guide to practitioner research in education
managing strategic risk and projects,a guide to the project management body of knowledge project management institute,book,project management project management standards gestion des connaissances a guide to the project management body of knowledge project management institute
australian biodiversity,a guide to the reptiles and frogs of the perth region,book,squamata reptiles western australia perth region identification frogs western australia perth region identification a guide to the reptiles and frogs of the perth region
principles and processes of interventions,a guide to treatments that work,book,mental illness treatment evaluation mental disorders therapy psychotherapy methods a guide to treatments that work
australian biodiversity,a guide to wetland invertebrates of southwestern australia,book,invertebrates australia south west w a handbooks manuals etc wetlands wetland ecology australia south west w a handbooks manuals etc a guide to wetland invertebrates of southwestern australia
managing wetlands and water,a guide to wetland management on the swan coastal plain,book,wetland conservation western australia swan coastal plain w a western australia a guide to wetland management on the swan coastal plain
it professional practice,a guide to writing as an engineer,book,technical writing technical writing technik a guide to writing as an engineer
peoples history of south east asia,a hakka kongsi in borneo,article,indonesia economic conditions serials precis indonesia politics and government 1966 periodicals indonesia economic conditions periodicals a hakka kongsi in borneo
foundations english,a handbook of aboriginal languages of new south wales and the australian capital territory,book,aboriginal languages australian capital territory aboriginal languages australian capital territory glossaries vocabularies etc aboriginal languages new south wales glossaries vocabularies etc a handbook of aboriginal languages of new south wales and the australian capital territory
engaging with children and young people,a handbook of children and young peoples participation perspectives from theory and practice,book,participation children s rights political science public policy social services welfare a handbook of children and young peoples participation perspectives from theory and practice
advanced human resource perspectives,a handbook of human resource management practice,book,personnel management personnel management handbooks manuals etc personeelsmanagement a handbook of human resource management practice
